city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
alameda,LOW-DENSITY RESIDENTIAL,,,8.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,MEDIUM-DENSITY RESIDENTIAL,,,21.8,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
alameda,NEIGHBORHOOD BUSINESS,2.0,,,,0,1,0,1,0,0,0,0,0,1,0,1,1,1
alameda,COMMUNITY COMMERCIAL,3.0,,,,0,1,0,1,1,0,0,0,0,1,1,1,1,1
alameda,OFFICE,0.45,,,,0,1,0,1,0,0,0,0,0,0,0,1,1,1
alameda,BUSINESS PARK,2.0,,,,0,0,0,1,1,0,0,1,1,1,0,0,1,1
alameda,GENERAL INDUSTRY,0.5,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0
alameda,COMMERCIAL RECREATION,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alameda,PARKS & PUBLIC OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,OPEN SPACE/HABITAT,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,PUBLIC/INSTITUTIONAL/SCHOOL,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
alameda,FEDERAL FACILITIES,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alameda,MIXED USE,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alameda,MIXED USE-1,0.062821971,,18.24350062,,1,1,0,1,0,0,0,0,0,0,0,0,0,0
alameda,MIXED USE-2,0.328602947,,0.95426296,,1,1,0,1,0,0,1,0,0,1,0,0,0,0
alameda,MIXED USE-3,0.119609596,,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
alameda,MIXED USE-4,0.115499385,,1.341640861,,1,1,0,1,0,0,1,1,1,0,0,0,0,0
alameda,MIXED USE-5,0.050131193,,16.37786107,,1,1,0,1,0,0,0,0,0,0,0,0,0,0
alameda,MIXED USE-6,0.205095546,,6.849370866,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
alameda,MIXED USE-7,0.262127273,,3.142641477,,1,1,0,1,0,0,1,1,0,1,0,0,0,0
alameda,222 - Commercial Recreation,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alameda,101 - Ballena Isle,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,101 - Business Park,2.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
alameda,101 - Commercial Recreation,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
alameda,101 - Community Commercial,3.0,,,,0,0,0,1,1,1,0,0,0,1,0,0,1,1
alameda,101 - Federal Facilities,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
alameda,101 - General Industry,0.5,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
alameda,101 - Island Auto Movie,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
alameda,101 - Low Density Residential,,,8.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,101 - Mariner Square,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
alameda,101 - Medium Density Residential,,,21.8,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
alameda,101 - Neighborhood Business,2.0,,,,0,0,0,1,1,1,0,0,0,1,0,0,1,1
alameda,101 - Northern Waterfront (Grand Street to Willow Street),,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
alameda,101 - Northern Waterfront (Willow Street to Oak Street),,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
alameda,101 - Office,0.45,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
alameda,101 - Parks & Public Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,101 - Public/ Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
