city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
albany,RHD,0.5,35.0,9.0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
albany,R-1,0.55,28.0,12.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
albany,R-2,0.55,35.0,35.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
albany,R-3,1.5,35.0,63.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
albany,R.4,,,87.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
albany,SPC,2.25,38.0,63.0,,1,0,1,1,0,1,0,0,0,1,0,0,1,0
albany,SC,1.25,35.0,63.0,,1,0,1,1,0,1,0,0,0,1,0,0,1,0
albany,CMX,0.5,45.0,,,0,0,0,1,0,1,1,0,0,1,0,0,1,0
albany,PF,,40.0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0
albany,WF,0.5,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
albany,U,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Churches,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
albany,102 - City Property,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
albany,102 - Commercial Recreation,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
albany,102 - Commercial/Service/Light Industrial,,,,,0,0,0,1,1,0,1,1,0,1,1,0,1,1
albany,102 - Community Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
albany,102 - General Commercial,0.5,45.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
albany,102 - High Density Residential,,35.0,87.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Low Density Residential,,35.0,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Medium Density Residential,,35.0,35.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Medium Density Residential/Recreational/Commercial,,,12.0,,0,1,1,1,1,0,0,0,0,1,1,0,1,1
albany,102 - Park and Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Planned Development (6 du/acre),,,6.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Planned Development (9 du/acre),,,9.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
albany,102 - Planned Residential/Commercial,,,12.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
albany,102 - Public/Quasi Public,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
albany,102 - Research,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
albany,102 - Residential/Commercial,,,12.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
albany,102 - Residential/Recreational,,,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
