city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
berkeley,R-1,1.2,35.0,8.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-1H,1.2,35.0,8.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-1A,1.2,35.0,17.424,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
berkeley,ES-R,0.3,35.0,1.7424,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,R-2,1.5,35.0,18.66857143,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-2H,1.5,35.0,8.712,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-2A,1.5,35.0,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-2AH,1.5,35.0,8.712,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-3,1.2,35.0,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-3H,1.2,35.0,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-4,2.1,65.0,40.0,,1,1,1,1,1,1,0,0,0,0,0,0,0,0
berkeley,R-4H,1.05,35.0,20.0,,1,1,1,1,1,1,0,0,0,0,0,1,0,0
berkeley,R-5H,1.2,35.0,100.0,,1,1,1,1,1,1,0,0,0,0,0,1,0,0
berkeley,C-1,3.0,50.0,26.4,,1,1,1,1,1,1,0,0,0,1,1,1,0,0
berkeley,C-N,3.0,35.0,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0
berkeley,C-N(H),3.0,35.0,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0
berkeley,C-E,1.0,28.0,26.4,,1,1,1,0,1,1,0,0,0,1,0,1,0,0
berkeley,C-NS,1.0,35.0,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0
berkeley,C-NS(H),1.0,35.0,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0
berkeley,C-SA,4.0,60.0,40.0,,1,1,1,1,1,1,0,0,0,1,0,1,0,0
berkeley,C-T,3.5,50.0,26.4,,0,0,0,1,1,1,0,0,0,1,1,1,1,1
berkeley,C-SO,2.0,28.0,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0
berkeley,C-W,3.0,50.0,,,0,0,0,1,1,1,1,0,0,1,1,1,1,1
berkeley,M,2.0,45.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
berkeley,MM,2.0,45.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
berkeley,MULI,2.0,45.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
berkeley,MUR,,35.0,34.848,,1,1,1,0,0,0,1,1,0,1,0,1,1,1
berkeley,SP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,U,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,X,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,C-2,3.0,50.0,26.4,,1,1,1,1,1,1,0,0,0,1,1,1,0,0
berkeley,103 - Avenue Commercial,2.0,,25.0,,0,1,1,1,1,1,0,0,0,1,0,0,1,1
berkeley,103 - Downtown,3.5,,40.0,,0,1,1,1,1,1,0,0,0,1,1,0,1,1
berkeley,103 - High Density Residential,,,100.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
berkeley,103 - Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
berkeley,103 - Low Density Residential,,,9.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,103 - Low Medium Density Residential,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
berkeley,103 - Manufacturing,2.0,45.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
berkeley,103 - Manufacturing Mixed Use,2.0,45.0,,,0,0,0,0,0,0,1,1,0,1,1,0,0,0
berkeley,103 - Medium Density Residential,,,40.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
berkeley,103 - Neighborhood Commercial,3.0,,25.0,,0,1,1,1,1,1,0,0,0,1,0,0,1,1
berkeley,103 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeley,R-S,,25.0,7.26,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
berkeley,R-SMU,,35.0,30.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
berkeley,C-DMU Core,75.0,75.0,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
berkeley,C-DMU Outer Core,75.0,75.0,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
berkeley,C-DMU Corridor,75.0,75.0,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
berkeley,R-Sh,,25.0,7.26,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
berkeley,C-DMU Buffer,50.0,50.0,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
