city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Castro Valley,"115 - Automotive Service, Sales & Parts",0.0,0,0.0,0,0,0,0,0,1,1,0,0,,1,1,0,1,1
Castro Valley,115 - General Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Castro Valley,115 - Light Industrial & Storage,0.0,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Castro Valley,115 - Medical Dental,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Castro Valley,115 - Mixed Use,0.0,0,30.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Castro Valley,115 - Mobile Home Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Office,0.0,0,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Castro Valley,115 - Other/Unclassified,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Park/Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Public/Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Castro Valley,115 - Residential 0-4 du/ac,0.0,0,4.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Residential 18-30 du/ac,0.0,0,30.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Residential 5-8 du/ac,0.0,0,8.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Residential 9-17 du/ac,0.0,0,17.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Residential over 30 du/ac,0.0,0,35.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Restaurants & Entertainment,0.0,0,0.0,0,0,0,0,0,1,0,0,0,,1,1,0,1,1
Castro Valley,115 - Retail Commercial,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,1,1,0,1,1
Castro Valley,115 - Rural Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Castro Valley,115 - Vacant,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
