city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
dublin,RRA,,35.0,0.01,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
dublin,ER,0.7,35.0,0.8,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
dublin,LDSF,0.7,35.0,3.8,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
dublin,LDR,0.7,35.0,6.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
dublin,SFR,0.7,35.0,6.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
dublin,MDR,0.7,35.0,14.0,2.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
dublin,EMHDR,0.7,35.0,14.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
dublin,MHDR,0.7,35.0,25.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
dublin,HDR,0.7,35.0,35.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
dublin,GC,0.35,45.0,,,0,0,0,1,1,1,0,1,0,1,1,0,0,0
dublin,RO,0.35,45.0,,,0,0,0,1,1,1,0,0,0,1,1,0,0,0
dublin,ROA,0.35,45.0,,,0,0,0,1,1,1,0,0,0,1,1,0,0,0
dublin,NC,0.35,35.0,,,0,0,0,1,0,1,0,0,0,1,0,0,0,0
dublin,GCCO,0.28,45.0,,,0,0,0,1,1,1,0,1,0,1,1,0,0,0
dublin,CO,0.75,35.0,,,0,0,0,1,0,1,1,1,0,0,0,0,0,0
dublin,IP,0.28,45.0,,,0,0,0,0,0,1,1,1,1,0,0,0,0,0
dublin,BPI,0.28,35.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dublin,BPIOS,0.28,45.0,,,0,0,0,0,0,1,1,1,0,0,0,0,0,0
dublin,MU,1.0,35.0,25.0,,0,0,0,1,0,1,0,0,0,0,0,1,1,1
dublin,MHRRO,0.45,45.0,35.0,,0,0,0,1,0,1,0,0,0,0,0,1,1,1
