city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
emeryville,RHD-3-100-55,3.0,100.0,100.0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,RHD-4-135-55,4.0,135.0,135.0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,MHR-1.6-60-55,1.6,55.0,60.0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,MDR-0.5-35-30,0.5,30.0,35.0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,MDR-0.5-35-55,0.5,55.0,35.0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,MDR-1.6-60-30,1.6,30.0,60.0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,MDR-1.6-60-55,1.6,55.0,60.0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
emeryville,MUR-0.5-35-30,0.5,30.0,35.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-0.5-35-55,0.5,55.0,35.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-1.6-60-30,1.6,30.0,60.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-1.6-60-55,1.6,55.0,60.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-3-100-100,3.0,100.0,100.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-3-100-55,3.0,55.0,100.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-3-100-75,3.0,75.0,100.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-4-135-100,4.0,100.0,135.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-4-135-55,4.0,55.0,135.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-4-135-x,4.0,,135.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-6-135-x,6.0,,135.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-6-170-55,6.0,55.0,170.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MUR-6-170-x,6.0,,170.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
emeryville,MU-0.5-x-30,0.5,30.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
emeryville,MU-1.6-x-55,1.6,55.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
emeryville,MU-3-x-55,3.0,55.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
emeryville,MU-4-x-100,4.0,100.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
emeryville,MU-4-x-55,4.0,55.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
emeryville,MU-4-x-x,4.0,,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
emeryville,CO-0.5-x-55,0.5,55.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
emeryville,CO-1.6-x-55,1.6,55.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
emeryville,CO-3-x-100,3.0,100.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
emeryville,CO-3-x-55,3.0,55.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
emeryville,CO-4-x-100,4.0,100.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
emeryville,CO-4-x-55,4.0,55.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
emeryville,ODH-1-x-55,1.0,55.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,Ind-0.5-x-55,0.5,55.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
emeryville,Ind-1.6-x-55,1.6,55.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
emeryville,Ind-3-x-55,3.0,55.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
emeryville,Pub-0.5-x-30,0.5,30.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
emeryville,Pub-0.5-x-55,0.5,55.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
emeryville,Pub-1.6-x-55,1.6,55.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
emeryville,Mar-0.5-x-55,0.5,55.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
emeryville,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,ROW,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,Water,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,104 - Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
emeryville,104 - High Density Residential,4.0,,135.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
emeryville,104 - Industrial,1.0,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
emeryville,104 - Medium Density Residential,1.0,,35.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
emeryville,104 - Mixed Use,,,60.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
emeryville,104 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,104 - Other Public Buildings,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
emeryville,104 - Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emeryville,104 - Schools,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
