city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Fairview,119 - Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - CN or C-1,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Fairview,119 - Other/Unclassified,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - Park/Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - Planned Development,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - Public/Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Fairview,119 - R-1,0.0,0,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - R-1-B-E (5 ACRE),0.0,0,0.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - R-1-B-E (SQ/10000),0.0,0,4.36,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - R-1-B-E (SQ/20000),0.0,0,2.178,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - R-1-B-E (SQ/50000),0.0,0,0.87,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - R-1-B-E (SQ/6000),0.0,0,7.26,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - R-1-B-E or R-1-L-B-E,0.0,0,7.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - Residential 0-4 du/ac,0.0,0,4.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - Residential 5-8 du/ac,0.0,0,8.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Fairview,119 - Vacant,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
