city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
fremont,RESVL1,,30.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESVL2,,30.0,1.5,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESVL3,,30.0,2.3,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESL1,,30.0,3.5,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESL2,,30.0,5.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESL3,,30.0,6.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESL4,,30.0,7.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESM1,,30.0,10.0,2.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
fremont,RESM2,,52.0,15.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
fremont,RESM3,,52.0,18.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
fremont,RESM4,,52.0,23.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
fremont,RESH1,,52.0,27.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
fremont,RESH2,,52.0,35.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
fremont,RESVH,,52.0,70.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
fremont,COMCOM,0.5,40.0,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0
fremont,COMHVR,0.25,40.0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0
fremont,COMN,0.3,35.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fremont,COMOFF,0.3,35.0,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0
fremont,COMTH,0.3,35.0,,,0,0,0,0,1,0,0,0,0,1,1,1,1,0
fremont,COMCBD,0.8,,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0
fremont,ComComResH1,0.5,52.0,27.0,,1,1,1,1,1,0,0,0,0,1,1,1,1,0
fremont,ComComResH2,0.5,52.0,35.0,,1,1,1,1,1,0,0,0,0,1,1,1,1,0
fremont,ComComResM4,0.5,52.0,23.0,,1,1,1,1,1,0,0,0,0,1,1,1,1,0
fremont,ComNResH1,0.3,52.0,27.0,,1,1,1,0,0,0,0,0,0,1,0,1,1,0
fremont,ComNResMed1,0.3,52.0,10.0,,1,1,0,0,0,0,0,0,0,1,0,1,1,0
fremont,ComNResMed2,0.3,52.0,15.0,,1,1,1,0,0,0,0,0,0,1,0,1,1,0
fremont,ComThResM3,0.3,52.0,18.0,,1,1,1,0,1,0,0,0,0,1,1,1,1,0
fremont,INDG,0.45,60.0,,,0,0,0,1,0,0,1,1,0,1,0,0,0,0
fremont,INDLT,0.45,60.0,,,0,0,0,1,0,0,1,1,1,1,0,0,0,0
fremont,INDR,0.45,60.0,,,0,0,0,1,0,0,1,1,1,1,0,0,0,0
fremont,OSHF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,OSHIL,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,OSI,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,OSOS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,OSP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,AG,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,OSVL1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,OSVL2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,PF,,45.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
fremont,105 - Agriculture,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Central Business District,0.8,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fremont,105 - Community Commercial,0.5,40.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fremont,105 - General Industrial,0.45,60.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
fremont,105 - HF OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - High Density Residential,,52.0,35.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - HIL OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - HVR COM,0.25,40.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fremont,105 - I OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Light Industrial,0.45,60.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
fremont,105 - Low Density Residential,,30.0,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Medium Density Residential,,52.0,15.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Mixed Use-Neighborhood Commercial15-18,,,18.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
fremont,105 - Mixed Use-Neighborhood Commercial18-23,,,23.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
fremont,105 - Mixed Use-Neighborhood Commercial23-27,,,27.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
fremont,105 - Mixed Use-Neighborhood Commercial27-35,,,35.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
fremont,105 - Neighborhood Commercial,0.3,35.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fremont,105 - Office Commercial,0.3,35.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fremont,105 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Private Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Public Facility,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fremont,105 - R IND,0.45,60.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
fremont,105 - TH COM,0.3,35.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fremont,105 - Very High Density Residential,,52.0,70.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fremont,105 - Very Low Density Residential,,30.0,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
