city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
livermore,GP-RR,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UL,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-ULM,,,3.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UM,,,4.5,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UMH,,,6.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH,,,55.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH1,,,8.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH2,,,14.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH3,,,18.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH4,,,22.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH5,,,38.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH6,,,55.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-RR_UM,,,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-ULM_UH,,,22.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-ULM_UH2,,,14.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-ULM_UH3,,,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-ULM_UH4,,,22.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UMH_UH,,,14.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-LII_ULM,,,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-HII_UH,,,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-LII_UH,,,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-NC_UH,,,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-BCP_UH,,,22.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-UH-OC,,,14.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livermore,GP-SC,0.3,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
livermore,GP-HC,0.3,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0
livermore,GP-NC,0.3,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
livermore,GP-CSGS,0.3,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
livermore,GP-OC_CF,0.3,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
livermore,GP-OC,0.3,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
livermore,GP-DA,,,,,0,0,1,1,1,0,0,0,0,1,0,1,1,0
livermore,GP-NML,0.3,,15.0,,1,0,0,0,0,0,0,0,0,1,0,1,1,0
livermore,GP-NMM,0.3,,24.0,,0,1,0,0,0,0,0,0,0,1,0,1,1,0
