city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Newark,108 - Agricultural/Resource Production Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Newark,108 - Community Commercial,0.3,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Newark,108 - Conservation Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Newark,108 - General Commercial,0.5,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Newark,108 - General Industrial,0.5,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Newark,108 - High Density Residential,0.0,0,30.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Newark,108 - Limited Industrial,0.4,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Newark,108 - Low Density Residential,0.0,0,8.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Newark,108 - Medium Density Residential,0.0,0,15.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Newark,108 - Neighborhood Commercial,0.3,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Newark,108 - Office Commercial,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Newark,108 - Public-Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Newark,108 - Public Parks-Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Newark,108 - Regional Commercial,0.4,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Newark,108 - Special Industrial,0.4,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Newark,108 - Specialty Commercial,0.3,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
