city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
oakland,Detached Unit Residential,,30.0,11.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
oakland,Hillside Residential,,30.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oakland,Housing and Business Mix,3.0,55.0,30.0,,0,1,1,1,0,1,1,0,0,1,0,0,1,0
oakland,Mixed Housing Type,,30.0,30.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
oakland,Urban Residential,,90.0,125.0,,0,0,1,0,0,0,0,0,0,0,0,1,1,0
oakland,Business Mix,4.0,55.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
oakland,Central Business District,20.0,1000.0,300.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
oakland,Community Commercial,5.0,160.0,125.0,,0,0,1,1,0,1,0,0,0,1,1,1,1,1
oakland,General Industrial/Transp,2.0,1000.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0
oakland,Neighborhood Center,4.0,90.0,125.0,,0,0,0,1,0,1,0,0,0,1,0,1,1,1
oakland,Regional Commercial,4.0,160.0,125.0,,0,0,1,1,1,1,0,0,0,1,0,1,1,1
oakland,Estuary Plan Area,7.0,1000.0,125.0,,0,0,1,1,1,0,1,1,0,0,0,1,1,1
oakland,Institutional,8.0,1000.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
oakland,Resource Conservation,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oakland,Urban Open Space,,,,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
oakland,109 - Business Mix,4.0,55.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
oakland,109 - Central Business District,20.0,1000,300.0,,0,0,1,1,1,1,0,0,0,1,1,0,1,1
oakland,109 - Community Commercial,5.0,160.0,125.0,,0,0,1,1,1,1,0,0,0,1,1,0,1,1
oakland,109 - Detached Unit Residential,,30.0,11.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
oakland,109 - Estuary Plan Area,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oakland,109 - General Industry and Transportation,2.0,1000.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
oakland,109 - Hillside Residential,,30.0,5.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
oakland,109 - Housing and Business Mix,3.0,55.0,30.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
oakland,109 - Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
oakland,109 - Mixed Housing Type,,30.0,30.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
oakland,109 - Neighborhood Center Mixed Use,4.0,90.0,125.0,,0,0,1,1,1,1,0,0,0,1,1,0,1,1
oakland,109 - Regional Commercial,1.0,160.0,125.0,,0,0,1,1,1,1,0,0,0,1,1,0,1,1
oakland,109 - Resource Conservation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oakland,109 - Urban Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oakland,109 - Urban Residential,,90.0,125.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
