city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
pleasanton,RURAL DENSITY,,,0.2,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,LOW DENSITY 1 DWELLING PER 2 ACRES,,30.0,0.25,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,LOW DENSITY,,30.0,2.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,MEDIUM DENSITY,,30.0,8.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
pleasanton,MEDIUM HIGH DENSITY,,30.0,8.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
pleasanton,HIGH DENSITY,,40.0,29.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
pleasanton,COMMERCIAL,0.6,40.0,,,0,0,1,1,1,1,1,0,0,1,1,1,1,0
pleasanton,GENERAL AND LIMITED INDUSTRIAL,0.5,40.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
pleasanton,SAND AND GRAVEL HARVESTING,,40.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,LAKE-SAND AND GRAVEL HARVESTIN,,40.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,BUSINESS PARK,0.6,30.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
pleasanton,BUSINESS PARK / MIXED USE,0.6,30.0,,,0,0,0,1,0,1,0,0,0,0,0,1,1,1
pleasanton,MIXED USE,1.5,,,,0,0,1,1,1,0,1,0,0,0,0,1,1,1
pleasanton,SCHOOL-ES,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,SCHOOL-HS,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,SCHOOL-MS,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,PUBLIC AND INSTITUTIONAL,0.6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,PARKS AND RECREATION,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,AGRICULTURE AND GRAZING,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,PUBLIC HEALTH AND SAFETY,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,WILDLAND OVERLAY,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,WATER MANAGEMENT & RECREATION,0.6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,BART-PROPOSED,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,BART-EXISTING,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Agriculture and Grazing,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Business Park (Industrial/Commercial and Office),0.6,30.0,,,0,0,0,1,1,0,1,1,0,1,1,0,1,1
pleasanton,111 - Commercial and Offices (Retail/Highway/Service/Professional),0.6,40.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
pleasanton,111 - General and Limited Industrial,0.5,40.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
pleasanton,111 - High Density Residential,,40.0,29.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Lake,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Low Density Residential,,30.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Medium Density Residential,,30.0,8.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Parks and Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Public and Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,111 - Public Health and Safety,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pleasanton,111 - Rural Density Residential,,,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Sand and Gravel Harvesting,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleasanton,111 - Schools,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
