city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
San Leandro,112 - Corridor Mixed Use,1.0,50,20.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
San Leandro,112 - Downtown Mixed Use,2.0,75,75.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
San Leandro,112 - Garden Residential,0.0,0,5.4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
San Leandro,112 - General Commercial,1.0,50,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
San Leandro,112 - General Industrial,0.6,35,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
San Leandro,112 - High Density Residential,0.0,0,29.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
San Leandro,112 - Light Industrial,0.8,35,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
San Leandro,112 - Low Density Residential,0.0,0,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
San Leandro,112 - Medium Density Residential,0.0,0,21.7,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
San Leandro,112 - Neighborhood Commercial,0.5,30,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
San Leandro,112 - Office,0.7,50,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
San Leandro,112 - Parks and Recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
San Leandro,112 - Public/Semi-Public,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
