city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
antioch,ER,,,2.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
antioch,LDR,,,4.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
antioch,MLDR,,,6.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
antioch,MDR,,,10.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
antioch,HDR,,,20.0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0
antioch,CC,0.6,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
antioch,CN,0.4,,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
antioch,MU,0.5,,,,1,1,1,1,1,1,1,1,0,1,0,1,1,1
antioch,CO,0.5,,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
antioch,BP,0.5,,,,0,0,0,1,1,0,1,1,0,1,0,0,0,0
antioch,PI,0.5,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
antioch,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,A St Interchange,0.4,,6.0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
antioch,East Lone Tree,0.5,,20.0,,0,0,0,1,0,0,1,1,0,1,0,0,0,0
antioch,Eastern Employment Areas,0.55,,20.0,,0,0,0,1,1,0,1,1,0,1,0,0,0,0
antioch,Ginocchio,,,2.0,,1,1,1,0,0,0,0,0,0,1,0,0,0,0
antioch,Rivertown/Urban Waterfront,1.5,,20.0,,0,1,1,1,1,0,0,0,0,1,0,0,0,0
antioch,Roddy Ranch,0.5,,3.0,,1,1,1,0,0,0,0,0,0,1,0,0,0,0
antioch,SR 4 Industrial Frontage,1.25,,,,0,0,0,1,1,0,1,1,1,1,0,0,0,0
antioch,Sand Creek,0.5,,20.0,,1,1,1,1,0,0,1,0,0,1,0,0,0,0
antioch,Sommersville Rd Corridor,0.5,,20.0,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
antioch,Standard Oil Interchange,0.6,,20.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - A Street Interchange,0.4,,,,0,0,0,1,1,0,0,0,0,1,1,0,1,1
antioch,201 - Business Park,0.5,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
antioch,201 - Conveniance Commercial,0.6,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
antioch,201 - East Lone Tree,0.5,,,,0,0,0,1,1,0,0,0,0,1,1,0,1,1
antioch,201 - Eastern Waterfront Employment,0.55,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
antioch,201 - Estate Residential,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - General Industrial,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
antioch,201 - High Density Residential,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Low Density Residential,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Medium Density Residential,,,10.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Medium Low Density Residential,,,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Mixed Use,0.5,,20.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
antioch,201 - Mixed Use Planned Community/Resort,,,20.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
antioch,201 - Neighborhood Commercial,0.4,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
antioch,201 - Office,0.5,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
antioch,201 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Open Space (Antioch Dunes),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Public/ Institutional,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Rivertown/Urban Waterfront,1.5,,20.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Sand Creek,0.5,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
antioch,201 - Somersville Road Corridor,0.5,,,,0,0,0,1,1,0,0,0,0,1,1,0,1,1
antioch,201 - State Route 4 Industrial Frontage,1.25,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
antioch,201 - Western Gateway,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
