city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
brentwood,RE,,35.0,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-1-E,,30.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-1,,30.0,3.6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-1-10,,30.0,4.3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-1-6,,30.0,7.3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-1-8,,30.0,5.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-2,0.8,30.0,9.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
brentwood,R-3,0.8,36.0,16.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
brentwood,CO,1.28,30.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
brentwood,COB,2.85,40.0,,,0,0,0,1,0,0,0,0,0,1,0,0,1,1
brentwood,COR,1.18290623,30.0,,,0,1,1,1,0,0,0,0,0,0,0,1,0,1
brentwood,C-1,1.28,30.0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0
brentwood,C-2,2.0,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
brentwood,C-3,2.78786796,40.0,,,0,0,0,0,1,0,0,0,0,1,1,0,0,0
brentwood,CB,3.0,42.0,,,0,1,1,1,0,0,0,0,0,1,0,1,1,1
brentwood,IC,1.47431457,30.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
brentwood,PEC,1.28,30.0,16.0,,0,0,1,1,0,0,1,0,0,0,0,1,0,1
brentwood,PF,1.28,30.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
brentwood,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD,,60.0,8.7,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
brentwood,PD-1,,35.0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-2,,35.0,7.26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-3,,30.0,13.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-4,,30.0,4.3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-5,,35.0,,,1,1,0,1,0,0,0,0,0,1,0,1,1,0
brentwood,PD-6,,36.0,14.7,,1,1,1,1,0,0,0,0,0,1,0,1,1,1
brentwood,PD-7,,30.0,6.22,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-8,,30.0,8.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-9,,35.0,3.35,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-10,,35.0,,,0,0,0,1,0,0,0,0,0,1,0,0,1,1
brentwood,PD-11,,35.0,12.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-12,,40.0,,,0,0,0,1,1,0,1,0,0,1,0,0,0,0
brentwood,PD-13,,30.0,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-14,,30.0,5.44,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-15,,35.0,17.4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-16,,30.0,,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
brentwood,PD-17,,45.0,,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
brentwood,PD-18,,35.0,7.26,,1,0,0,1,0,0,0,0,0,1,1,0,0,0
brentwood,PD-19,,30.0,,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
brentwood,PD-20,,35.0,10.89,,0,1,0,0,0,0,0,0,0,1,0,1,1,1
brentwood,PD-21,,35.0,17.42,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-22,,35.0,9.68,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
brentwood,PD-23,,30.0,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
