city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
concord,RR,,,2.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,LDR,,,10.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
concord,MDR,,,32.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
concord,HDR,,,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,DTPD,4.0,,100.0,,0,0,1,1,0,0,0,0,0,1,0,1,1,1
concord,CMU,1.0,,40.0,,0,0,1,1,0,0,0,0,0,1,0,1,1,1
concord,WCMU,4.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1
concord,DTMU,6.0,,100.0,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
concord,IMU,1.0,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,1
concord,SC,0.8,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
concord,NC,0.35,,24.0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0
concord,RC,0.5,,,,0,0,0,0,1,0,0,1,0,1,1,0,0,0
concord,CO,1.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
concord,BP,0.8,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
concord,HI,0.6,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0
concord,PQP,1.5,,,,0,0,0,1,0,1,1,1,0,0,0,0,0,0
concord,PQPHMC,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0
concord,CNWS_I,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,CNWS_T,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,WRC,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,P,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,RCNSV,,,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (CAMU) Central Area Multiple Use,,,100.0,,0,1,1,1,0,1,0,0,0,1,1,0,1,1
concord,204 - (CO) Community Office,1.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
concord,204 - (CONC) Community Office/Neighborhood Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
concord,204 - (HDR) High Density Residential,,,100.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (HDRCO) High Density Residential & Regional Commercial & Office,,,100.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
concord,204 - (IBO) Industrial Business Park,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
concord,204 - (LDR) Low Density Residential,,,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (LDRCO) Low Density Residential & Community Office,,,10.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
concord,204 - (MDR) Medium Density Residential,,,32.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (MDRNCC) Medium Density Residential & Neighborhood Community Commercial,,,32.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
concord,204 - (NCC) Neighborhood/Community Commercial,0.35,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
concord,204 - (NCCRO) Neighborhood/Community Commercial & Regional Office,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
concord,204 - (NWS) Naval Weapons Station,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
concord,204 - (OS) Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (P) Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (PQP) Public/Quasi Public,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
concord,204 - (RC) Regional Commercial,0.5,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
concord,204 - (RCC) Rural Residential - Conservation,,,2.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
concord,204 - (RO) Regional Office,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
concord,204 - (WRC) Wetlands/Resource Conservation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
