city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Danville,218 - Agricultural,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Commercial,0.35,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Danville,218 - Controlled Manufacturing,0.4,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Danville,218 - Country Estates,0.0,0,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Downtown Master Plan,0.8,35,22.0,0,1,1,1,1,1,1,0,0,,1,1,0,1,1
Danville,218 - General Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Limited Office,0.6,0,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Danville,218 - Mixed Use,0.7,0,22.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Danville,218 - Multiple Family - Low Density Residential,0.0,0,12.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Multiple Family - Medium Density Residential,0.0,0,20.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Parks and Recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Public and Semi-Public,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Danville,218 - Rural Residential,0.0,0,0.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Single Family - Low Density Residential,0.0,0,3.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Single Family - Medium Density Residential,0.0,0,5.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Single/Multiple Family,0.0,0,7.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Danville,218 - Specialized Commercial,0.35,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
