city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
el_cerrito,RS-20,,30.0,2.178,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,RS-10,,30.0,4.356,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,"RS-10, PD",,30.0,4.356,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,RS-7.5,,30.0,5.808,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,RS,,30.0,8.712,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,"RS, PD",,30.0,8.712,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,RD,,30.0,17.424,2.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,"RD, PD",,30.0,17.424,2.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,RM,,35.0,34.848,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,"RM, PD",,35.0,34.848,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,NC,1.0,35.0,25.0,,1,1,1,1,1,1,0,0,0,1,1,0,0,0
el_cerrito,"NC, PD",1.0,35.0,25.0,,1,1,1,1,1,1,0,0,0,1,1,0,0,0
el_cerrito,TOM,3.0,50.0,45.0,,1,1,1,1,1,1,0,0,0,1,1,0,0,0
el_cerrito,"TOM, PD",3.0,50.0,45.0,,1,1,1,1,1,1,0,0,0,1,1,0,0,0
el_cerrito,CC,3.0,35.0,45.0,,1,1,1,1,1,1,1,1,1,1,1,0,0,0
el_cerrito,PS,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,"PS, PD",,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,PR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,OS-N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,205 - Commercial,3.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
el_cerrito,205 - High Density,,,35.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,205 - Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
el_cerrito,205 - Low Density,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,205 - Medium Density,,,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,205 - Neighborhood Commercial,1.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
el_cerrito,"205 - Parks, Open Space, Greenways",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_cerrito,205 - Very Low Density,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
