city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Hercules,206 - Commercial - Public,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Hercules,206 - Community Commercial,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Hercules,206 - Franklin Canyon Area,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - General Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Hercules,206 - Historic Town Center,0.4,0,17.0,0,1,1,1,1,1,1,0,0,,1,1,0,1,1
Hercules,206 - Industrial,0.5,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Hercules,206 - Industrial Residential,0.5,40,25.0,0,0,1,1,0,0,0,1,1,,0,0,0,0,0
Hercules,206 - Multi-Family Low Density Residential,0.0,45,12.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - Multi-Family Medium Density Residential,0.0,60,30.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - Planned Commercial Industrial,0.5,0,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Hercules,206 - Planned Commercial Residential,0.4,0,30.0,0,0,1,1,1,1,1,0,0,,1,1,1,1,1
Hercules,206 - Planned Office - Research & Development,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Hercules,206 - Public - City,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Hercules,206 - Public - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - Public - Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - Public - School,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Hercules,206 - Single Family Estate,0.0,35,2.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - Single Family Low Density Residential,0.0,35,7.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Hercules,206 - Waterfront Commercial,0.3,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
