city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
martinez,R-1.5,,30.0,29.04,,1,1,1,0,1,0,0,0,0,0,0,0,0,0
martinez,R-2.5,,25.0,17.42,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
martinez,R-3.5,,25.0,12.45,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
martinez,R-6.0,,25.0,7.26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-7.0,,25.0,6.22,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-7.5,,25.0,5.81,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-10,,25.0,4.36,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-12,,25.0,2.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-15,,25.0,3.63,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-20,,25.0,2.18,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,RR-20,,25.0,2.18,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-40,,25.0,1.09,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,RR-40,,25.0,1.09,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-65,,25.0,0.67,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-80,,25.0,0.54,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-100,,25.0,0.44,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,M-NC/PA,,30.0,29.04,,0,1,1,1,1,0,0,0,0,1,0,1,1,1
martinez,M-NC/SC,,30.0,,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
martinez,M-NC/TC,,30.0,,,0,0,1,1,1,0,0,0,0,1,0,1,1,1
martinez,M-R-1.5/CC,,40.0,29.04,,1,1,1,1,1,0,0,0,0,1,0,1,1,1
martinez,M-R-1.5/PA,,30.0,29.04,,1,1,1,1,1,0,0,0,0,0,0,1,1,1
martinez,M-R&D/CC,,40.0,,,0,0,1,1,1,0,1,0,0,1,1,1,1,1
martinez,M-R&D/L-I,,36.0,,,0,0,1,1,0,0,1,0,0,0,0,1,1,1
martinez,M-OS/RF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,M-OS/RF/R-3.5,,25.0,12.45,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
martinez,M-PA/C-I,,30.0,29.04,,0,1,1,1,0,0,0,0,0,0,0,0,1,1
martinez,M-R-6.0/RF,,25.0,7.26,,1,0,0,0,0,0,0,0,0,0,0,1,0,0
martinez,M-SC/L-I,,30.0,,,0,0,0,1,1,0,1,0,0,1,0,0,1,1
martinez,OS/RF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,R-10/ECD-R-40,,25.0,4.36,,1,0,0,0,0,0,0,0,0,0,0,1,0,0
martinez,M-29,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,NC,,30.0,,,0,0,1,1,1,0,0,0,0,1,0,0,0,0
martinez,CC,,40.0,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0
martinez,TC,,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
martinez,SC,,30.0,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
martinez,CR,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
martinez,R&D,,36.0,,,0,0,1,1,0,0,1,0,0,0,0,0,0,0
martinez,PA,,30.0,29.04,,0,1,1,1,0,0,0,0,0,0,0,0,0,0
martinez,DS,,40.0,35.0,,0,1,1,0,0,0,1,0,0,0,0,0,0,0
martinez,R-B,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,L-I,,30.0,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0
martinez,H-1,,30.0,,,0,0,0,1,0,0,1,1,1,0,0,0,0,0
martinez,H-I,,30.0,,,0,0,0,1,0,0,1,1,1,0,0,0,0,0
martinez,C-I,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-R-100,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-R-40,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-R-6.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-R-80,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-RR-40,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-C-I,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,ECD-H-I,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,GF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,C,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,A-1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,A-2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,RF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinez,U,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
