city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
orinda,RVL-E,,27.0,0.1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RVL,,27.0,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RL-40,,27.0,1.1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RL-20,,27.0,2.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RL-15,,27.0,2.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RL-12,,27.0,3.6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RL-10,,27.0,4.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RL-6,,27.0,7.3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,RM,,27.0,10.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
orinda,DC,,35.0,,,0,0,1,1,0,0,0,0,0,1,0,0,0,0
orinda,DO,,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
orinda,PS,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
orinda,PR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,PD,,27.0,1.1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,SP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Business and Professional Offices,27.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
orinda,223 - Community Business,27.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
orinda,223 - Gateway Valley Planning Area,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Multi-Family,,27.0,10.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Parks and Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Public and Semi-Public,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
orinda,223 - Roads,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Single Family Low Density,,,1.1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Single Family Very Low Density,,,0.1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orinda,223 - Utility,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
