city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Pittsburg,211 - Business Commercial,1.0,55,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Pittsburg,211 - Community Commercial,0.5,60,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Pittsburg,211 - Downtown Commercial,2.0,60,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Pittsburg,211 - Downtown High Density Residential (18-30 un/ac),0.0,40,30.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Downtown Low Density Residential (4-12un/ac),0.0,35,12.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Downtown Medium Density Residential (12-18un/ac),0.0,40,18.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - High Density Residential (14-25un/ac),0.0,45,25.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Hillside Low Density Residential (<5un/ac),0.0,0,5.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Industrial,0.5,50,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Pittsburg,211 - Institutional/Quasi Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Pittsburg,211 - Low Density Residential (1-7un/ac),0.0,28,7.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Marine Commercial,1.5,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Pittsburg,211 - Medium Density Residential (7-14un/ac),0.0,35,14.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Mixed Use,1.0,40,5.0,0,0,0,1,1,1,1,0,0,,1,1,1,1,1
Pittsburg,211 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Pittsburg,211 - Regional Commercial,0.5,60,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Pittsburg,211 - Service Commercial,0.5,50,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Pittsburg,211 - Utility/ROW,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
