city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
richmond,ResVL,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,ResL,,,9.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
richmond,ResM,,,28.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
richmond,ResH,,,43.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
richmond,ResL-ResM-ResH,,,43.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
richmond,NCom,2.0,,,,0,0,1,1,0,0,0,0,0,1,0,0,1,0
richmond,GCom,2.0,,,,0,0,1,1,1,0,0,0,0,1,1,0,1,0
richmond,RCom,2.0,,43.0,,0,0,1,1,0,0,0,0,0,1,0,0,1,1
richmond,City Center,2.5,,40.0,,0,1,1,1,0,0,0,0,0,1,0,1,0,1
richmond,WCom,0.6,,21.0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0
richmond,IndO-RCom,2.0,,43.0,,0,0,1,1,0,0,1,0,0,1,0,0,1,0
richmond,GCom-IndO,2.0,,,,0,0,0,1,1,0,1,0,0,1,1,0,1,0
richmond,NCom-IndO,2.0,,,,0,0,0,1,0,0,1,0,0,1,0,0,1,0
richmond,IndL,0.65,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
richmond,IndH,0.65,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0
richmond,Marine,0.5,,,,0,0,0,1,0,0,1,1,1,1,0,0,0,0
richmond,IndO,0.5,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0
richmond,IndO-IndL,0.65,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
richmond,IndO-IndL-Marine,0.5,,,,0,0,0,1,0,0,1,1,1,1,0,0,0,0
richmond,Rec-WCom,0.6,,21.0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0
richmond,Rec-WCom-IndL-IndO-GCom,2.0,,21.0,,0,1,1,1,1,0,1,1,0,1,1,0,1,0
richmond,ResL-Resource,,,9.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
richmond,IndO-IndL-GCom-WCom,2.0,,21.0,,0,1,1,1,1,0,1,0,0,1,1,0,1,0
richmond,GCom-ResM,2.0,,28.0,,0,1,1,1,1,0,0,0,0,1,1,0,1,0
richmond,GCom-IndL,2.0,,,,0,0,1,1,1,0,1,1,0,1,1,0,1,0
richmond,GCom-IndL-Marine,2.0,,,,0,0,1,1,1,0,1,1,1,1,1,0,1,0
richmond,Rec,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,Resource,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,Rec-Resource,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,Resource-Rec,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,Pub,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0
richmond,213 - City Center,2.5,,40.0,,0,1,1,1,1,1,0,0,0,1,1,0,1,1
richmond,213 - General Commercial,2.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
richmond,213 - General Commercial and/or Industrial/Office Flex,2.0,,,,0,0,0,1,1,0,1,1,0,1,1,0,1,1
richmond,213 - Heavy Industry,0.65,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
richmond,213 - High Density Residential,,,43.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Industrial/Office Flex,0.5,,,,0,0,0,1,1,0,1,1,0,1,1,0,1,1
richmond,213 - Light Industry,0.65,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
richmond,213 - Low and/or Medium Density Residential,,,28.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Low Density Residential,,,9.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Low Density Residential and/or Preservation/Resource Areas,,,0.01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Medium Density Residential,,,28.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Neighborhood Retail,2.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
richmond,213 - Other Types of Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Port/Marine Terminal/Ship Repair,,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
richmond,213 - Preservation/Resource Areas,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Public & Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
richmond,213 - Recreation Lands,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Recreation Lands and/or Preservation/Resource Areas,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Recreation Lands and/or Water Related Commerce & Commercial Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Regional Office/Shopping,2.0,,43.0,,0,1,1,1,1,1,0,0,0,1,1,0,1,1
richmond,213 - Very Low Density Residential,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,213 - Water Related Commerce & Commercial Recreation,0.5,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
