city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
san_pablo,Low Density Residential,,,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,Medium Density Residential,,,24.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
san_pablo,High Density Residential,,,60.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
san_pablo,Mixed Use Center North,2.5,,80.0,,0,0,1,0,0,0,0,0,0,1,0,1,0,0
san_pablo,Mixed Use Center South,2.5,,60.0,,0,0,1,1,1,0,0,0,0,1,0,0,1,1
san_pablo,Commercial Mixed Use,1.5,,50.0,,0,0,1,1,0,0,0,0,0,1,0,0,0,1
san_pablo,Residential Mixed Use,1.5,,50.0,,0,0,1,1,0,0,0,0,0,1,0,1,0,0
san_pablo,Neighborhood Commercial,1.0,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
san_pablo,Regional Commercial,0.75,,,,0,0,0,0,1,0,0,0,0,1,1,0,0,0
san_pablo,Entertainment District,1.25,,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
san_pablo,Industrial Mixed Use,0.6,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
san_pablo,Public/Institutional,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
san_pablo,Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,214 - Commercial,1.5,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
san_pablo,214 - Commercial and High Density Residential,,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
san_pablo,214 - Commercial and Industrial,,,,,0,0,0,1,1,0,1,1,0,1,1,0,1,1
san_pablo,214 - Commercial and Medium Density Residential,,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
san_pablo,214 - Commercial and Medium/High Density Residential,1.5,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
san_pablo,"214 - Commercial and Public/Semi-Public, Institutional",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,214 - High Density Residential,,,60.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
san_pablo,214 - High Density Residential and Commercial,,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
san_pablo,"214 - High Density Residential and Open Space, Multi-Use Corridor",,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,214 - Industrial,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
san_pablo,214 - Industrial and Medium/High Density Residential,,,24.0,,1,1,1,0,0,0,1,1,0,0,0,0,0,0
san_pablo,214 - Low Density Residential,,,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,"214 - Low/Medium/High Density Residential and Public/Semi-Public, Institutional",,,24.0,,1,1,1,1,0,1,0,0,0,1,1,0,1,1
san_pablo,214 - Medium Density Residential,,,24.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,214 - Medium/High Density Residential,,,24.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
san_pablo,214 - Medium/High Density Residential and Commercial,,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
san_pablo,"214 - Open Space, Multi-Use Corridor",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_pablo,"214 - Public/Semi-Public, Institutional",,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
san_pablo,"214 - Public/Semi-Public, Institutional and Commercial",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
