city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
unincorporated_contra_costa,SV,,,0.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,SL,,,2.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,SM,,,4.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,SH,,,7.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,ML,,,11.9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,MM,,,20.9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,MH,,,29.9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,MV,,,44.9,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,MS,,,99.9,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,CC,,,29.9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,MO,,,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,CO,1.0,35.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
unincorporated_contra_costa,ACO,0.67,40.0,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
unincorporated_contra_costa,OF,1.5,50.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,BP,1.5,60.0,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0
unincorporated_contra_costa,LI,0.67,50.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
unincorporated_contra_costa,HI,0.67,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unincorporated_contra_costa,CR,1.0,35.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
unincorporated_contra_costa,M-1,1.75,,29.9,,0,1,1,1,0,0,0,0,0,1,0,1,1,0
unincorporated_contra_costa,M-2,1.75,,29.9,,0,1,0,1,0,0,0,0,0,1,0,1,1,0
unincorporated_contra_costa,M-3,1.75,84.0,60.0,,0,0,1,1,0,0,0,0,0,1,0,1,1,1
unincorporated_contra_costa,M-4,1.75,50.0,29.0,,1,1,1,1,1,1,0,0,0,1,0,1,1,0
unincorporated_contra_costa,M-5,1.75,50.0,29.0,,0,0,1,1,1,1,0,0,0,1,0,0,1,1
unincorporated_contra_costa,M-6,1.75,65.0,,,0,0,1,1,0,1,0,0,0,1,0,1,0,0
unincorporated_contra_costa,M-7,1.0,35.0,29.9,,0,1,1,1,0,0,0,0,0,1,0,0,0,0
unincorporated_contra_costa,M-8,1.75,,40.0,,0,0,1,0,0,0,0,0,0,1,0,1,1,1
unincorporated_contra_costa,M-9,1.75,,20.9,,0,0,1,1,0,0,0,0,0,1,0,1,1,1
unincorporated_contra_costa,M-10,1.75,,,,0,0,0,1,0,0,1,0,0,1,0,0,1,1
unincorporated_contra_costa,PS,1.0,,,,0,0,0,1,0,1,1,1,1,0,0,0,0,0
unincorporated_contra_costa,LF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,"AL, OIBA",,,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,PR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,AL,,,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,AC,,,0.025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,DR,,,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,WA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,WS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_contra_costa,ROW,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
