year,occ,ag,natres,constr,man_hvy,man_lgt,man_tech,man_bio,logis,ret_loc,ret_reg,transp,util,info,fire,lease,prof,serv_bus,art_rec,hotel,eat,serv_per,health,serv_soc,ed_k12,ed_high,ed_oth,gov,unclass
2010,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,mng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
