city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
belvedere,MD SFR,0.5,26.0,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,LD SFR,0.33,28.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,HD SFR,0.5,28.0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,MD MFR,,28.0,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
belvedere,HD MFR,,36.0,35.0,,1,1,1,1,0,1,0,0,0,0,0,0,0,0
belvedere,Commercial,1.0,36.0,,,0,0,1,1,1,1,0,0,0,0,0,0,1,0
belvedere,Private Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,Church/School,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
belvedere,Park/Public Facility,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0
belvedere,301 - Church or School,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Commercial,1.0,36.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
belvedere,301 - High Density Residential -over 5 units,,,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Low Density Residential 1 - 2.5 units,,,2.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Medium Density Residential 2.5 - 5 units,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Multi-Family Residential 5 - 20 units,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Private Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belvedere,301 - Public Facility,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
