city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
fairfax,Residential .25,,28.0,0.25,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fairfax,Residential 1 - 6,,28.0,6.0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
fairfax,Residential 7 - 12,,28.0,12.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0
fairfax,UR - 10,,28.0,10.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fairfax,Central Commercial,,28.0,,,0,0,0,1,0,0,0,0,0,1,1,1,1,1
fairfax,Highway Commercial,,28.0,,,0,0,0,1,1,0,0,0,0,1,1,0,0,1
fairfax,Light Commercial,,28.0,,,0,0,0,1,1,1,0,0,0,0,0,0,0,0
fairfax,Service Commercial,,15.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
fairfax,Recreational Commercial,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,COMMERCIAL - CL,,28.0,,,0,0,0,1,1,1,0,0,0,0,0,0,0,0
fairfax,Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,TownLand,,35.0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
fairfax,SchoolBnd,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fairfax,ParksBnd,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,RESIDENTIAL - RD-5.5-7,,28.0,6.0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
fairfax,303 - Central Commercial,,28.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fairfax,303 - Highway Commercial,,28.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fairfax,303 - Light Commercial,,28.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
fairfax,303 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,303 - Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,303 - Public Domain,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fairfax,303 - Recreational Commercial,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,303 - Residential 0.1-0.25 du/ac,,28.0,0.25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,303 - Residential 1-6 du/ac,,28.0,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fairfax,303 - Residential 7-12 du/ac,,28.0,12.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
fairfax,303 - Service Commercial,,15.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
