city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Novato,306 - Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Business and Professional Office,0.4,35,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Novato,306 - Commercial/Industrial,1.0,35,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Novato,306 - Community Facilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Novato,306 - Conservation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Downtown Core,2.0,45,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Novato,306 - General Commercial,0.4,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Novato,306 - High Density Multiple Family Residential,0.0,35,30.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Light Industrial/Office,0.4,35,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Novato,306 - Low Density Residential,0.0,30,5.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Medium Density Detached Residential,0.0,30,7.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Medium Density Multiple Family Residential,0.0,35,20.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Medium Density Residential,0.0,35,20.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Mixed Use,0.8,45,0.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Novato,306 - Neighborhood Commercial,0.6,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Novato,306 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Parkland,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Research/Educational Institution,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Novato,306 - Rural Residential,0.0,30,0.49,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Novato,306 - Very Low Density Residential,0.0,30,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
