city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
ross,VL,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,L,,,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,ML,,,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,M,,,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,H,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ross,C,1.3,,,,1,1,1,1,0,0,0,0,0,1,0,1,1,1
ross,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,PS,0.5,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ross,QP,,,,,0,0,0,0,0,c,0,0,0,0,0,0,0,0
ross,RC,0.1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Higher Density (15-20 Units/Acre),,,20.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Limited Quasi-Public/Private Service,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Limited Specialized Recreation/Cultural,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Local Service Commercial,1.3,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
ross,307 - Low Density (1-3 Units/Acre),,,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Medium Density (6-10 Units/Acre),,,10.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Medium Low Density (3-6 Units/Acre),,,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Public Park and Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ross,307 - Public Service,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ross,307 - Very Low Density (.1-1 Unit/Acre),,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
