city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
sausalito,Very Low Density Residential,0.35,,2.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Low Density Residential,0.4,,5.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Medium Low Density Residential,0.45,,7.3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Medium Density Residential,0.4,,8.7,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Medium High Density Residential,0.65,,17.4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,Planned Development Residential,0.65,,22.3,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,High Density Residential,0.8,,29.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,Arks,0.3,,20.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Houseboats,0.25,,4.35,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Mixed Residential & Commercial,1.0,,29.0,,0,0,0,1,0,0,0,0,0,0,0,1,1,1
sausalito,Central Commercial,1.3,,29.0,,0,0,0,1,0,0,0,0,0,1,0,0,1,0
sausalito,Neighborhood Commercial,0.5,,29.0,,0,0,0,1,0,0,0,0,0,1,0,1,1,1
sausalito,Commercial Waterfront,0.3,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0
sausalito,Shopping Center,0.2,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0
sausalito,Industrial,0.4,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sausalito,Waterfront,0.3,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
sausalito,Public Institutional,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
sausalito,Open Area,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,Public Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Arks,0.3,,20.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Central Commercial,1.3,,29.0,,0,1,1,1,1,1,0,0,0,1,1,0,1,1
sausalito,310 - Commercial Waterfront,0.3,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
sausalito,310 - High Density Residential,0.8,,29.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Houseboats,0.25,,4.35,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Industrial,0.4,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
sausalito,310 - Low Density Residential,0.4,,5.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Medium Density Residential,0.45,,7.3,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Medium High Density Residential,0.65,,17.4,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Medium Low Density Residential,0.45,,7.3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Mixed Residential & Commercial,1.0,,29.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
sausalito,310 - Neighborhood Commercial,0.5,,29.0,,0,1,1,1,1,1,0,0,0,1,1,0,1,1
sausalito,310 - Open Area,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Planned Development Residential,0.65,,22.3,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Public Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sausalito,310 - Public Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Shopping Center,0.2,,,,0,0,0,1,0,1,0,0,0,1,1,0,1,1
sausalito,310 - Very Low Density Residential,0.35,,2.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sausalito,310 - Waterfront,0.3,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
