id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate,Parcel Count,zoning_id
9101,71.0,VACAVILLE,RURAL RESIDENTIAL,,,0.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,9101
60008,,ALAMEDA,LOW DENSITY RESIDENTIAL,,,8.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,3,60008
60010,,ALAMEDA,MEDIUM DENSITY RESIDENTIAL,,,21.8,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,60010
60024,,ALBANY,LOW DENSITY RESIDENTIAL,,35.0,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,9,60024
60035,,BERKELEY,AVENUE COMMERCIAL,2.0,,25.0,,0,1,1,1,1,1,0,0,0,1,0,0,1,1,Pre22,3,60035
60037,,BERKELEY,HIGH DENSITY RESIDENTIAL,,,100.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,60037
60039,,BERKELEY,LOW DENSITY RESIDENTIAL,,,9.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,271,60039
60040,,BERKELEY,LOW MEDIUM DENSITY RESIDENTIAL,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,58,60040
60041,,BERKELEY,MANUFACTURING,2.0,45.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Pre22,14,60041
60043,,BERKELEY,MEDIUM DENSITY RESIDENTIAL,,,40.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,76,60043
60044,,BERKELEY,NEIGHBORHOOD COMMERCIAL,3.0,,25.0,,0,1,1,1,1,1,0,0,0,1,0,0,1,1,Pre22,4,60044
60046,2.0,BERKELEY,R-S,,25.0,7.26,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,75,60046
60047,2.0,BERKELEY,R-SMU,,35.0,30.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,30,60047
60048,2.0,BERKELEY,C-DMU CORE,7.0,75.0,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2015,81,60048
60049,2.0,BERKELEY,C-DMU OUTER CORE,7.0,75.0,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2015,49,60049
60050,2.0,BERKELEY,C-DMU CORRIDOR,7.0,75.0,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2015,23,60050
60052,2.0,BERKELEY,C-DMU BUFFER,50.0,50.0,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,66,60052
60093,,HAYWARD,PARKS AND RECREATION,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,7,60093
60102,,LIVERMORE,BUSINESS AND COMMERCIAL PARK,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1,60102
60109,,LIVERMORE,LOW INTENSITY INDUSTRIAL,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,4,60109
60110,,LIVERMORE,MIXED USE-DOWNTOWN AREA SP,3.0,,22.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,,10,60110
60115,,LIVERMORE,OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,60115
60116,,LIVERMORE,RESIDENTIAL DEVELOPMENT AREA (SVA),,,3.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,60116
60121,,LIVERMORE,URBAN HIGH DENSITY RESIDENTIAL UH2,,,14.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,14,60121
60126,,LIVERMORE,URBAN LOW RESIDENTIAL UL2,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,261,60126
60127,,LIVERMORE,URBAN MEDIUM DENSITY RESIDENTIAL,,,4.5,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,7,60127
