city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
napa,RS 40,0.3,30.0,1.08,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,RS 20,0.3,30.0,2.17,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,RS 10,0.3,30.0,4.35,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,RS 7,0.3,30.0,6.22,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,RS 5,0.3,30.0,8.71,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,RS 4,0.3,30.0,10.89,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,RI 20,0.3,30.0,6.53,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
napa,RI 10,0.3,30.0,13.06,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
napa,RI 7,0.3,30.0,18.66,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
napa,RI 5,0.3,30.0,26.13,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
napa,RI 4,0.3,30.0,32.67,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
napa,RT 5,0.3,30.0,26.13,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
napa,RT 4,0.3,30.0,26.13,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
napa,RM,0.3,35.0,40.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
napa,CT,1.0,40.0,,,0,0,0,0,1,1,0,0,0,1,1,0,0,0
napa,CL,0.35,30.0,25.0,,0,0,1,1,0,0,0,0,0,1,1,0,1,1
napa,CC,0.4,40.0,40.0,,0,0,1,1,0,0,0,0,0,1,1,0,1,0
napa,OC,0.4,40.0,40.0,,0,0,1,1,0,0,0,0,0,1,0,0,0,1
napa,OM,0.4,40.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
napa,IP-A,0.4,50.0,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0
napa,IP-B,0.4,30.0,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0
napa,IP-C,0.4,30.0,,,0,0,0,1,0,0,1,1,1,0,0,0,0,0
napa,IL,0.5,40.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
napa,CD,1.25,40.0,40.0,,0,0,1,1,1,0,0,0,0,1,1,1,1,1
napa,CDP,4.0,40.0,45.0,,0,0,0,0,0,0,0,0,0,1,0,0,1,1
napa,MU-T,2.0,50.0,40.0,,0,0,1,1,0,0,1,0,0,0,0,1,1,1
napa,MU-G,2.0,40.0,40.0,,0,0,1,1,0,0,1,0,0,0,0,1,1,1
napa,RO,0.4,35.0,15.0,,0,0,1,1,0,0,0,0,0,0,0,0,0,1
napa,MP-G,0.4,50.0,40.0,,0,0,1,1,0,0,0,0,0,1,0,1,1,1
napa,MP-S,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0
napa,PQ,0.4,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,AR,,,0.05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,POS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,RT-4,0.3,30.0,26.13,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
napa,402 - Business Professional,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
napa,402 - Community Commercial,0.4,40.0,40.0,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
napa,402 - Corporate Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,402 - Downtown Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
napa,402 - Greenbelt,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,402 - Light Industrial,0.5,40.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
napa,402 - Local Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
napa,402 - Mixed Use,,,40.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
napa,402 - Multi Family Residential,0.3,35.0,40.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
napa,402 - Public Serving,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
napa,402 - Residential/Office,,,40.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
napa,402 - Resource Area,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,402 - Single Family Infill,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,402 - Single Family Residential,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
napa,402 - Tourist Commercial,1.0,40.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
napa,402 - Traditional Residential,0.3,30.0,26.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
