city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Saint Helena,403 - Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Central Business,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Saint Helena,403 - Higher Density Residential,0.0,0,28.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Industrial,0.0,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Saint Helena,403 - Low Density Residential,0.0,0,5.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Medium Density Residential,0.0,0,16.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Office,0.0,0,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Saint Helena,403 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Public & Semi-Public,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Saint Helena,403 - Railroad,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Saint Helena,403 - Service Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Saint Helena,403 - Woodlands & Watershed,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
