city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
unincorporated_napa,AP,,35.0,0.025,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,AP:HR,,35.0,0.025,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,AV:AC,1.0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unincorporated_napa,AW,,35.0,1.0,,1,0,0,0,1,0,1,1,0,0,0,0,0,0
unincorporated_napa,AW:AC,1.0,35.0,1.0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0
unincorporated_napa,AW:AH,0.8,35.0,20.0,,1,1,1,0,1,0,1,1,0,0,0,0,0,0
unincorporated_napa,AW:PS,,35.0,1.0,,1,0,0,0,1,0,1,1,0,0,0,0,0,0
unincorporated_napa,AW:SWP,,35.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,AW:UR,,35.0,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,CL,1.0,35.0,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0
unincorporated_napa,CL:AC,1.0,35.0,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0
unincorporated_napa,CL:AH,1.75,35.0,20.0,,0,1,1,0,1,1,0,0,0,1,0,0,0,0
unincorporated_napa,CL:HR,,35.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,CN,0.11,35.0,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0
unincorporated_napa,CN:UR,,35.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,GI:AC,1.0,35.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
unincorporated_napa,I,0.7,35.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
unincorporated_napa,I:AC,0.7,35.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
unincorporated_napa,IP:AC,1.0,35.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
unincorporated_napa,MC,0.8,35.0,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0
unincorporated_napa,MC:AC,0.8,35.0,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0
unincorporated_napa,MC:AH,1.75,35.0,20.0,,0,1,1,0,0,0,0,1,0,1,0,0,0,0
unincorporated_napa,PD,,35.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,PD:AC,,35.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,PD:AH,,35.0,20.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,PD:AH:AC,,35.0,20.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,PL,1.0,35.0,,,0,0,0,1,0,1,1,1,0,0,0,0,0,0
unincorporated_napa,PL:AC,1.0,35.0,,,0,0,0,1,0,1,1,1,0,0,0,0,0,0
unincorporated_napa,RC,,30.0,6.0,,1,0,0,0,0,1,0,1,0,0,0,0,0,0
unincorporated_napa,RC:AH,,35.0,20.0,,1,1,1,0,0,1,0,1,0,0,0,0,0,0
unincorporated_napa,RC:UR,,35.0,0.25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,RS:AC,,35.0,0.25,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
unincorporated_napa,RS:B-1,,35.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,RS:B-10,,35.0,0.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,RS:B-2,,35.0,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,RS:B-5,,35.0,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unincorporated_napa,RS:UR,,35.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
