"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,76555,131680,139298,79432,3011,84645,34660,12575,12499,16821,343718,3731,9435,67314,36376,22442,41877,138287,84632,87,24870,53965,2855.68076,9772.85778,6568.48977,7618
2,103745,217040,221247,137866,19897,92916,25941,20866,22756,34182,92781,9861,19269,109741,50194,32182,11333,12418,54726,69,2928,11307,8319.26957,6861.20508,1174.96875,4207
3,124934,339105,343724,194700,64438,67964,33768,27270,27046,36850,139346,18586,41132,149566,91217,43223,14465,16454,67176,93,18313,22845,9720.8544,12845.30674,22809.87952,4619
4,51563,143555,146013,76931,35995,17889,12600,12226,11638,15099,24508,6534,20172,55204,39654,24449,4514,4293,12323,10,1002,2366,10390.01283,17640.00051,11161.18217,2458
5,99264,302777,304197,162824,69276,34165,23536,26464,26010,23254,126260,16774,48240,107536,85427,46220,20265,18983,47170,74,25986,13782,11770.05398,1827.10693,5714.08936,1420
6,82955,218166,219799,115918,53671,33905,16365,17764,19577,29249,111063,13240,37523,74178,60634,34224,17296,30913,31548,143,10895,20268,11123.77854,3523.57563,8061.9112,1633
7,78799,228526,230770,117434,57588,25204,17814,17007,15507,28471,134233,15689,45643,77587,61769,30082,14148,32749,33281,302,16739,37014,7640.80056,1376.31859,4082.9354,2244
8,71056,178642,187141,92072,45772,29046,14054,11987,13228,31787,122273,9493,37285,64126,47276,28961,17170,23037,49376,77,12415,20198,9787.8172,17457.82609,17736.07129,8499
9,103037,273191,273938,147289,52867,55185,20384,20841,26988,34824,321589,21891,41240,122904,59569,28334,33435,56119,46750,47,137770,47468,7458.96906,2734.05347,8358.42514,747
10,119404,332141,332730,161132,85511,40017,22729,23452,26235,46988,120282,18006,66840,105322,96048,46514,24039,23196,48593,195,12237,12022,20400.55944,10537.00415,25363.59375,589
11,108433,315919,326772,166294,63035,49910,35399,26889,22623,23522,172319,22406,60001,136590,75446,32329,16096,43929,64504,82,15081,32627,15455.94201,23558.03352,20671.75082,10853
12,113568,416119,417986,201366,95280,20898,27818,27519,28468,29763,112025,25739,81075,150565,109534,51073,16665,15674,36028,85,28258,15315,21692.99711,1989.04991,7574.09738,1867
13,74645,228433,229203,114105,60081,16629,14452,16805,19506,23882,59117,15334,46496,75372,63270,28731,10558,9169,27248,32,8751,3359,13421.45618,0,0,770
14,36426,116291,117299,56805,30606,7062,9419,8259,8987,9761,50368,7827,26262,36947,31932,14331,9652,5681,13914,2240,13154,5727,5372.54321,1169.43494,2747.16479,1008
15,77836,222254,223065,113756,62587,17920,13400,14911,20360,29165,141335,13154,46098,71005,66663,26145,29004,24531,38255,119,30133,19293,9004.42788,1177.01733,5208.63135,811
16,106821,343194,344729,170449,84576,26483,19972,24385,29701,32763,152656,22232,62623,127774,90069,42031,25722,21417,40791,230,49462,15034,16273.16987,4721.09924,7991.55908,1535
17,126291,384024,387095,188690,90948,39909,39969,37744,29186,19392,155345,24403,71142,138457,104600,48493,21978,17975,57755,193,37946,19498,16414.87963,13403.23926,15664.97119,3071
18,181059,465782,471764,234760,95373,97330,69668,46298,33759,31334,210604,29528,77959,185532,119523,59222,18847,34960,92747,65,28532,35453,19447.27768,7401.96007,20856.24535,5982
19,72243,165145,178445,94969,35588,42041,24235,16231,14883,16894,112118,8242,28639,79729,38036,23799,11964,32648,44822,45,12093,10546,5439.30722,33085.71057,6470.34658,13300
20,90422,261053,262029,126274,69260,26857,30844,26749,19455,13374,70321,15414,46893,93076,70793,35853,12542,8589,23822,645,13988,10735,10033.46919,1986.22961,5352.18945,976
21,88801,238877,239887,121016,66694,25650,23587,24541,22931,17742,111517,15288,40442,82626,68117,33414,15222,23164,38716,839,12453,21123,8353.65991,7124.7883,14234.98633,1010
22,60397,146270,148090,68056,41777,21144,12710,13188,12744,21755,77514,6621,26439,38859,42404,33767,11497,21961,33015,97,3627,7317,11550.06255,3631.6925,2249.87963,1820
23,52313,151225,151477,70964,45520,8610,6196,8382,12774,24961,68583,8594,36951,39372,46237,20323,6446,20020,18091,114,18767,5145,6614.4017,0,0,252
24,95608,305544,306449,135973,86998,14293,30162,28284,23166,13996,64302,19378,71129,101930,80010,34002,11133,8094,26583,988,6461,11043,11424.66381,1466.22473,5530.38086,905
25,52939,147048,148242,67788,42347,15407,19465,15433,11404,6637,47151,9047,25428,49376,42914,21477,6681,6046,19989,458,6567,7410,7814.70794,522.34595,67.8259,1194
26,92337,279883,281214,127776,78003,19295,27573,27761,23312,13691,107192,17415,57397,95439,74177,36786,15850,13509,44013,972,13456,19392,12825.76132,2734.19995,7697.46875,1331
27,35028,102559,103937,51909,29199,8064,10118,10513,8538,5859,50606,6469,20986,34978,27119,14385,6876,8000,18138,494,8174,8924,5551.90332,1710.88708,4910.64746,1378
28,14369,35617,36954,18055,15882,2177,4354,3593,2862,3560,30006,1219,5702,9324,11132,9577,1761,1979,12417,1568,9998,2283,1028.93749,1587.90076,180.66705,1337
29,64959,167543,170824,86581,55737,13629,20063,19587,14512,10797,75503,9294,29820,54659,48998,28053,10417,12356,25710,1120,13701,12199,6783.12093,5358.8208,1688.44116,3281
30,92122,243303,245438,119372,75534,21557,31017,28675,19954,12476,118396,13583,45027,79818,67695,39315,18952,19611,41040,659,15839,22295,9761.33663,6540.82788,16403.80273,2135
31,31962,80769,81514,38975,37061,3540,10506,8972,7036,5448,30199,3565,14123,22602,25249,15975,3834,3537,10637,1385,7160,3646,3661.0873,0,0,745
32,24439,61724,62176,31354,20010,5411,6621,5873,5342,6603,25641,3431,10872,16606,19969,11298,3358,8416,7944,23,1774,4126,2391.29333,0,0,452
33,42290,106161,107847,55754,32839,12625,11437,9160,9201,12492,57274,5460,18808,30222,33186,20171,8927,11244,20465,149,4882,11607,4562.05279,777.38501,834.61945,1686
34,37670,88728,89334,43479,28891,12482,7460,6858,7825,15527,44284,3794,15954,21665,28912,19009,7607,9742,19314,76,3025,4520,3419.31494,1529.34192,5514.8667,606
