"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
1,32,60,14,13,4,1,7,18,6,1,33,-1,14,5,5,8,2,2,29,18,9,6,1,0,4
2,162,301,72,65,19,6,43,88,28,3,165,-3,69,23,28,42,12,11,143,91,44,30,8,0,23
3,255,474,111,103,31,10,66,139,45,5,259,-4,108,36,45,66,19,18,225,142,70,47,12,0,35
4,58,84,46,9,1,2,20,28,9,1,53,5,27,21,8,2,2,3,41,27,11,10,2,0,7
5,553,797,442,85,5,21,189,268,86,10,500,53,253,197,80,23,18,36,385,258,100,91,23,0,68
6,2133,3908,1237,839,27,30,458,1076,573,26,2090,43,826,691,460,156,56,467,2320,635,430,616,616,0,0
7,3246,4718,2252,805,127,62,1471,1375,328,72,3035,211,2168,581,359,138,161,198,2401,1299,659,445,196,0,249
8,4399,7286,3007,858,302,232,2761,1110,422,106,3966,433,3709,448,216,26,115,652,1820,2767,1932,2015,69,0,1946
9,4990,8261,3364,1171,197,258,2028,2096,795,71,4600,390,3343,736,582,329,332,544,4004,2473,908,639,359,0,280
10,2154,3862,1242,483,319,110,1010,690,353,101,1747,407,1078,196,384,496,55,260,1967,856,724,113,0,0,113
11,2257,3931,1543,348,65,301,862,841,430,124,2127,130,1565,307,191,194,68,561,1308,1728,266,137,0,0,137
12,789,1060,575,183,31,0,158,410,204,17,697,92,66,49,225,449,0,0,638,314,108,64,15,0,49
13,9,12,6,2,0,1,2,5,2,0,8,1,1,1,2,5,0,0,7,4,1,1,0,0,1
14,173,233,126,40,7,0,34,90,45,4,153,20,15,11,49,98,0,0,140,69,24,14,3,0,11
15,239,321,174,56,9,0,48,124,62,5,211,28,20,15,68,136,0,0,193,95,33,19,4,0,15
16,2217,3934,942,947,269,59,528,1098,545,46,1865,352,181,195,426,1415,349,126,2569,804,86,170,39,0,131
17,3925,7497,1945,1367,363,250,730,2077,1032,86,3530,395,755,395,1048,1727,206,645,4179,2021,446,322,74,0,248
18,948,2175,424,390,75,59,404,302,226,16,583,365,182,80,211,475,88,70,1367,555,95,269,0,0,269
19,366,1104,165,186,15,0,-227,329,247,17,636,-270,81,9,32,244,18,45,591,438,12,294,0,0,294
20,1847,3834,792,783,134,138,565,686,542,54,1565,282,691,341,392,423,69,260,1952,1273,280,312,0,0,312
21,2681,4231,1595,912,110,64,1449,784,432,16,2657,24,1607,295,266,513,79,76,1629,763,1684,393,0,0,393
22,1163,1750,739,330,94,0,452,522,189,0,935,228,244,200,269,450,33,11,755,367,584,16,0,0,16
