city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Brisbane,603 - Aquatic Areas,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Heavy Commercial,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Brisbane,603 - Neighborhood Commercial/ Retail/ Office,2.4,0,0.0,0,0,0,0,1,0,0,0,0,,1,1,0,1,1
Brisbane,603 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Public Facilities and Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Quarry,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Residential (0-2 du/ac),0.0,0,2.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Residential (15-30 du/ac),0.0,0,30.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Residential (2.5- 14 du/ac),0.0,0,14.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Residential (6.23 du/ac),0.0,0,6.23,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Brisbane,603 - Sierra Point Commercial/ Retail/ Office,4.8,0,0.0,0,0,0,0,1,0,0,0,0,,1,1,0,1,1
Brisbane,603 - Subregional Commercial/ Retail/ Office,2.8,0,0.0,0,0,0,0,1,0,0,0,0,,1,1,0,1,1
Brisbane,603 - Trade Commercial,2.0,0,0.0,0,0,0,0,0,0,0,1,1,,1,1,0,1,1
