city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Daly City,606 - Churches,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Daly City,606 - Government Facilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Daly City,606 - High Density Residential,0.0,0,50.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Hospitals,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Daly City,606 - Industrial,1.0,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Daly City,606 - Low Density Residential,0.0,0,14.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Medium-Low Density Residential,0.0,0,20.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Medium Density Residential,0.0,0,35.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Neighborhood Commercial,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Daly City,606 - Office,3.5,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Daly City,606 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Preservation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Public Utilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Daly City,606 - Recreation-Private,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Recreation-Public,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Daly City,606 - Residential Retail,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Daly City,606 - Retail and Office,5.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Daly City,606 - Schools,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Daly City,606 - Service,3.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
