city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
East Palo Alto,621 - Community Open Space Conservation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
East Palo Alto,621 - General Commercial,2.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
East Palo Alto,621 - General Industrial,2.0,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
East Palo Alto,621 - Heavy Industrial,0.6,0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
East Palo Alto,621 - High Density Residential,0.0,0,40.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
East Palo Alto,621 - Industrial Buffer,0.5,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
East Palo Alto,621 - Low/Medium Density Residential,0.0,0,8.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
East Palo Alto,621 - Medium/High Density Residential,0.0,0,17.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
East Palo Alto,621 - Neighborhood Commercial,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
East Palo Alto,621 - Office,2.0,0,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
East Palo Alto,621 - Resource Management,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
