city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Half Moon Bay,608 - Commercial Recreation,0.5,28,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Half Moon Bay,608 - General Commercial,0.0,36,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Half Moon Bay,608 - Greenbelt - Stream Corridor,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - High Density Residential,0.0,40,29.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Horticultural Business,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Light Industrial,0.0,40,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Half Moon Bay,608 - Low Density Residential,0.5,28,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Medium Density Residential,0.5,28,8.7,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Open Space Reserve,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Planned Development District,0.0,0,8.7,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Public Facilities and Institutions,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Half Moon Bay,608 - Regional Public Recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Urban Reserve,0.0,28,0.07,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Half Moon Bay,608 - Visitor Serving Commercial,0.5,28,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
