city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
menlo_park,RES,,28.0,2.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,RES(X),,28.0,2.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R1S,,28.0,4.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R1S(X),,28.0,4.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R1S(FG),,28.0,4.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R1U,,28.0,6.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R1U(X),,28.0,6.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R1U(LM),,28.0,6.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R2,,28.0,12.4,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R2(X),,28.0,12.4,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R3,,35.0,18.5,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R3(X),,35.0,18.5,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R3A,,35.0,18.5,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R3A(X),,35.0,18.5,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,H,0.45,,18.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R4,,40.0,40.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R4(X),,40.0,40.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,RLU,1.5,35.0,40.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,RLU(X),1.5,35.0,40.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
menlo_park,R3C,,35.0,18.5,,0,0,1,1,0,0,0,0,0,0,0,0,0,1
menlo_park,RC,,35.0,18.5,,0,0,1,1,0,0,0,0,0,0,0,0,0,1
menlo_park,C1,0.3,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
menlo_park,C1(X),0.3,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
menlo_park,C1A,0.4,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
menlo_park,C1B,0.4,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
menlo_park,C1C,0.25,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
menlo_park,C1C(X),0.25,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
menlo_park,C2,0.4,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
menlo_park,C2A,0.4,15.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
menlo_park,C2B,0.4,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
menlo_park,C2S,0.5,30.0,18.5,,0,0,1,1,0,0,0,0,0,1,0,0,1,1
menlo_park,C3,1.0,30.0,18.5,,0,0,1,1,0,0,0,0,0,1,0,0,1,1
menlo_park,C4,0.4,30.0,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
menlo_park,C4(X),0.4,30.0,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
menlo_park,P,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
