city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
millbrae,Very Low Density Residential,,30.0,4.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
millbrae,Low Density Residential,,30.0,8.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
millbrae,Medium Density Residential,,30.0,17.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
millbrae,High Density Residential,,40.0,80.0,,1,1,1,1,0,1,0,0,0,0,0,0,0,0
millbrae,General Commercial,0.5,40.0,,,0,0,1,1,1,0,0,0,0,1,1,1,1,1
millbrae,Industrial and Utility,,40.0,,,0,0,0,1,1,0,1,1,1,1,1,0,0,0
millbrae,Park and Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millbrae,Public and Quasi-Public,0.25,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
millbrae,MSASP Commercial Mixed Use-45,0.5,45.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
millbrae,MSASP Commercial Mixed Use-70,2.0,70.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
millbrae,MSASP Commercial Mixed Use-75,2.0,75.0,,,0,0,0,1,1,0,0,0,0,1,0,0,1,1
millbrae,MSASP General Com Residential MU-30,0.5,30.0,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0
millbrae,MSASP General Com Residential MU-45,0.5,45.0,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0
millbrae,MSASP General Com Residential MU-55,0.5,55.0,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0
millbrae,MSASP General Commercial-30,0.5,30.0,,,0,0,0,0,0,0,1,1,0,1,1,0,0,0
millbrae,MSASP General Commercial-45,0.5,45.0,,,0,0,0,0,0,0,1,1,0,1,1,0,0,0
millbrae,MSASP Quasi-Public,,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
millbrae,MSASP Quasi-Public-30,0.3,30.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
millbrae,611 - General Commercial,0.5,40.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
millbrae,611 - High Density Residential,,40.0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
millbrae,611 - Industrial and Utility,,40.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
millbrae,611 - Low Density Residential,,30.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
millbrae,611 - Medium Density Residential,,30.0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
millbrae,611 - Park and Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millbrae,611 - Public and Quasi-Public,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
millbrae,611 - Specific Plan,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millbrae,611 - Very Low Density Residential,,30.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
