city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Portola Valley,613 - Conservation Residential,0.0,28,0.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Institutions,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Portola Valley,613 - Local Shopping & Service,0.18,20,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Portola Valley,613 - Low Intensity Academic Reserve,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Portola Valley,613 - Neighborhood Community,0.28,20,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Open Residential,0.0,28,0.33,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Open Space-Limited Development,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Open Space Preserve,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,"613 - Parks, Recreation Areas and Open Spaces",0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Parkway & Greenway,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - PUD: The Sequoias,0.0,28,20.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Regional Park/Private Regional Facility,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Residential Low,0.0,28,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Portola Valley,613 - Residential Low/Medium,0.0,28,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
