city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Woodside,619 - Commercial,0.0,40,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Woodside,619 - General Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Open Space for Health and Safety,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Open Space for Low Intensity Outdoor Recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Open Space for Preservation of Natural Resources,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Residential,0.0,28,2.18,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Rural Residential,0.0,30,0.33,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Special Conservation Planning - 10,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Special Conservation Planning - 5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Special Conservation Planning - 7.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Woodside,619 - Suburban Residential,0.0,30,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
