city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Campbell,701 - Central Commercial,1.25,45,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Campbell,701 - Commercial and/or industrial,0.4,0,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Campbell,701 - General Commercial,0.4,75,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Campbell,701 - High density residential (21-27 units/Gr. acre),0.0,40,27.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Campbell,701 - Light Industrial,0.4,45,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Campbell,701 - Low - Medium density residential (6-13 units/Gr. acre),0.0,35,13.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Low - Medium density residential/Office,0.4,0,0.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Campbell,701 - Low density residential (less than 3 units/Gr. acre),0.0,35,3.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Low density residential (less than 4.5 units/Gr. acre),0.0,35,4.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Low density residential (less than 6 units/Gr. acre),0.0,35,6.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Medium density residential (14-20 units/Gr. acre),0.0,35,20.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Medium to High Density Residential/ Commercial,0.4,0,0.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Campbell,701 - Mobile home park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Neighborhood Commercial,0.4,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Campbell,701 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Campbell,701 - Professional Office,0.4,35,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Campbell,701 - Research and Development,0.4,45,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Campbell,701 - Residential/ Commercial/ Office,0.4,0,0.0,0,1,1,1,1,0,1,0,0,,1,1,0,1,1
