city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
cupertino,A-215,0.45,28.0,0.202604651,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1,0.45,28.0,4.356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R1),0.45,28.0,4.356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-10,0.45,28.0,4.356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-10i,0.45,18.0,4.356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-20,0.45,28.0,2.178,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-22,0.45,28.0,1.98,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-32.5,0.45,28.0,1.340307692,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-5,0.45,28.0,8.712,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R1-5),0.45,28.0,8.712,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-6,0.45,28.0,7.26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-6e,0.45,28.0,7.26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-6i,0.45,18.0,7.26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-7.5,0.45,28.0,5.808,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R1-7.5),0.45,28.0,5.808,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-7.5i,0.45,18.0,5.808,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-8,0.45,28.0,5.445,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1-a,0.45,28.0,4.356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1C,,30.0,15.02068966,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R1C),,30.0,15.02068966,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1C-2.9,,30.0,15.02068966,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1C-3.2,,30.0,13.6125,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R1C-7.5,,30.0,5.808,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R2,,30.0,10.24941176,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R2),,30.0,10.24941176,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,"P(R2, Mini-Stor)",,30.0,10.24941176,,0,1,0,0,0,0,1,0,0,0,0,0,0,0
cupertino,R2-4.25,,30.0,10.24941176,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R2-4.25i,,30.0,10.24941176,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,R3,,30.0,14.0516129,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R3),,30.0,14.0516129,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,R3-2.2,,30.0,19.8,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-10,,30.0,4.356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-100,,30.0,0.4356,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-12,,30.0,3.63,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-120,,30.0,0.363,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-15,,30.0,2.904,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-150,,30.0,0.2904,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-170,,30.0,0.256235294,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-175,,30.0,0.248914285,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-180,,30.0,0.242,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-190,,30.0,2.287157894,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-20,,30.0,2.178,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-200,,30.0,0.2178,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-21,,30.0,2.074285714,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-218,,30.0,0.199816513,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-240,,30.0,0.1815,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-260,,30.0,0.167538461,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-30,,30.0,1.452,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-40,,30.0,1.089,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-400,,30.0,0.1089,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-440,,30.0,0.099,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-60,,30.0,0.726,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-8,,30.0,5.445,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-80,,30.0,0.5445,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,RHS-90,,30.0,0.484,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,CG,2.0,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cupertino,P(CG),2.0,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cupertino,CG-rg,2.0,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cupertino,ML,1.2,40.0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
cupertino,P(ML),1.2,40.0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
cupertino,ML-fa,1.2,40.0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
cupertino,ML-rc,1.2,40.0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
cupertino,OA,0.8,30.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cupertino,P(Off),0.8,30.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cupertino,"P(BQ, Mini-Stor)",,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cupertino,"P(CG, ML, BQ, Res 4-10)",0.8,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0
cupertino,"P(CG, ML, O, Hotel, Regional Shopping)",1.2,40.0,,,0,0,0,0,1,0,0,0,0,1,1,0,0,0
cupertino,"P(CG, ML, Res 35)",0.8,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0
cupertino,"P(CG, ML, Res 4-10)",0.8,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0
cupertino,"P(CG, ML,, Hotel, Regional Shopping, Res)",1.2,40.0,,,0,0,0,0,1,0,0,0,0,1,1,0,1,0
cupertino,"P(CG, O)",0.8,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cupertino,"P(CG, O, ML, Hotel)",1.2,40.0,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0
cupertino,"P(CG,O)",0.8,30.0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cupertino,"P(CN, ML, Res 4-12)",0.8,30.0,,,0,0,1,0,0,0,1,0,0,0,1,0,0,1
cupertino,"P(Com, Off, Res 15-30)",0.8,30.0,,,0,0,1,1,0,0,0,0,0,1,1,0,1,0
cupertino,"P(Com, Off, Res)",0.8,30.0,,,0,0,1,1,0,0,0,0,0,1,1,0,1,0
cupertino,"P(Com, Res 5-15)",0.8,30.0,,,0,0,1,0,0,0,0,0,0,1,1,0,1,0
cupertino,"P(Comm, Ind, Off)",0.8,30.0,,,0,0,0,1,0,0,1,0,0,1,1,0,0,0
cupertino,"P(Comm, Off, Res 30)",0.8,30.0,,,0,0,1,1,0,0,0,0,0,1,1,0,1,0
cupertino,"P(Comm, Res)",0.8,30.0,,,0,0,1,0,0,0,0,0,0,1,1,0,1,0
cupertino,P(Hotel),1.2,40.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cupertino,"P(Rec, Enter)",0.8,30.0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cupertino,"P(Rec, Enter, Ltd Com)",0.8,30.0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cupertino,P(Regional Shopping),0.8,30.0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cupertino,P(Res 10-20 Mini-Stor),0.8,30.0,20.0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
cupertino,"P(Res, Com)",0.8,30.0,,,0,0,1,0,0,0,0,0,0,1,1,1,0,0
cupertino,"P(Res, Com, Off, Ind, Hotel)",1.2,40.0,,,0,0,1,1,1,0,1,0,0,1,1,1,0,0
cupertino,BA,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cupertino,P(BA),,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cupertino,BQ,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cupertino,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,PR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Institutional),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(OP),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(4.4-12),,,12.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(CN),,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cupertino,P(R 4.4-12),,,12.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R 4.4-7.7),,,7.7,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(R1 0-2),,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Res 10-20),,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Res 4.4-7.7),,,7.7,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Res 4-8),,,8.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Res 5-10),,,10.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Res),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(Res)-70,,,70.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,P(MP),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,A,0.45,28.0,0.202604651,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,A1-40,0.45,28.0,0.202604651,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,Pre R1-10,0.45,28.0,5.808,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,Pre RHS-21,,30.0,2.074285714,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,Pre RHS-40,,30.0,1.089,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Commercial/Office/Residential,,,20.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
cupertino,702 - Commercial/Residential,,,20.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
cupertino,702 - Industrial/Residential,,,20.0,,1,1,1,0,0,0,1,1,0,0,0,0,0,0
cupertino,702 - Neighborhood Commercial/Residential,,,20.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
cupertino,702 - Office/Industrial/Commercial/Residential,,,20.0,,1,1,1,1,0,1,1,1,0,1,1,0,1,1
cupertino,702 - Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Private Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Private Recreational,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Public Facilities,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cupertino,702 - Public Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Quasi-Public/Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cupertino,702 - Residential 0 - 4.4 D.U./Gr. Ac.,,18.0,4.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential 4.4 - 12 D.U./Gr. Ac.,,28.0,12.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential 4.4 - 7.7 D.U./Gr. Ac.,,28.0,7.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential High: 20 - 35 D.U./Gr. Ac.,,28.0,35.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential Low: 1 - 5 D.U./Gr. Ac.,,18.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential Medium/High: 10 - 20 D.U./Gr. Ac.,,28.0,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential Medium/Low: 5 - 10 D.U./Gr. Ac.,,28.0,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential Very Low: Foothill 5-20 Acre S/D Formula,,18.0,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential Very Low: Foothill Modified 1/2 Acre S/D Formula,,18.0,0.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Residential Very Low: Foothill Modified S/D Formula,,,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cupertino,702 - Special Planning Area,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
