city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
gilroy,ResRur,,,0.4,,1,0,0,0,0,0,0,0,0,0,0,1,0,0
gilroy,ResHill,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,ResLow,,,7.25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,ResMed,,,16.0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
gilroy,ResHigh,,,30.0,,0,1,1,0,0,0,0,0,0,0,0,1,0,0
gilroy,ResNeighb,,,12.5,,0,1,1,1,0,0,0,0,0,1,0,1,1,0
gilroy,ComOffice,1.28,35.0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,1
gilroy,ComGen,2.76,55.0,,,0,0,0,1,0,0,1,0,0,1,1,0,1,0
gilroy,ComVS,2.76,55.0,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0
gilroy,MixedUse,1.28,35.0,30.0,,0,1,1,1,0,0,1,0,0,1,1,1,1,1
gilroy,IndCampus,1.0,35.0,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0
gilroy,IndPark,1.2,35.0,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0
gilroy,IndGen,3.0,75.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0
gilroy,HPSUD,,35.0,0.4,,1,1,0,0,0,0,0,0,0,1,0,1,0,0
gilroy,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,ParkRec,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,PQPF,1.5,75.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1
gilroy,School,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gilroy,GLRSP,,,16.0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0
gilroy,ROW,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,DTCan,2.0,50.0,40.0,,1,1,1,1,0,1,1,0,0,1,0,1,1,1
gilroy,DTCiv,1.5,50.0,,,0,1,1,1,0,1,0,0,0,0,0,1,1,1
gilroy,DTExp,2.5,50.0,,,1,1,1,1,1,1,0,0,0,1,0,1,1,1
gilroy,DTGateway,0.75,40.0,30.0,,1,1,1,1,1,1,1,0,0,1,1,1,1,1
gilroy,DTHist,2.5,50.0,,,1,1,1,1,1,1,0,0,0,1,0,1,1,1
gilroy,DTTrans,1.5,40.0,20.0,,1,1,1,1,0,1,0,0,0,1,0,1,1,1
gilroy,703 - COM-Downtown Central District,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
gilroy,703 - COM-General Services,2.76,55.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
gilroy,703 - COM-Professional Office,1.28,35.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
gilroy,703 - COM-Visitor Serving,1.28,35.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
gilroy,703 - IND-General Industrial,3.0,75.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
gilroy,703 - IND-Industrial Park,1.2,35.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
gilroy,703 - OTHER-Educational Facility,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gilroy,703 - OTHER-Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,703 - OTHER-Park/Recreation Facility,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,703 - OTHER-Public/Quasi-Public Facility,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gilroy,703 - RES-High Density,,,30.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
gilroy,703 - RES-Hillside,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,703 - RES-Low Density,,,7.25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gilroy,703 - RES-Medium Density,,,16.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
gilroy,703 - RES-Neighborhood District,,,12.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
