city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Los Altos,704 - Downtown Commercial,2.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Los Altos,704 - Low Density Multi-Family,0.0,0,15.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Medium Density Multi-Family,0.0,0,38.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Neighborhood Commercial,0.5,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Los Altos,704 - Other Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Planned Community,0.9,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Private Schools,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Los Altos,704 - Public Schools,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Los Altos,704 - Public/Institutional/Utilities/Parking,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Los Altos,704 - Single Family_1,0.0,0,2.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Single Family_2,0.0,0,4.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Los Altos,"704 - Single Family_3, Small Lot",0.0,0,10.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Los Altos,704 - Thoroughfare Commercial,1.5,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
