city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Mountain View,710 - Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Downtown Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Mountain View,710 - General Commercial,0.4,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Mountain View,710 - General Industrial,0.55,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Mountain View,710 - High Density Residential,0.0,0,80.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Industrial Park,0.0,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Mountain View,710 - Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Mountain View,710 - Linear Commercial/Residential,0.35,0,43.0,0,0,1,1,1,1,1,0,0,,1,1,1,1,1
Mountain View,710 - Low Density Residential,0.0,0,6.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Medium-High Density Residential,0.0,0,35.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Medium-Low Density Residential,0.0,0,12.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Mobile Home Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Neighborhood Commercial,0.35,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Mountain View,710 - Office,0.35,0,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Mountain View,710 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Parks and Schools,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Mountain View,710 - Regional Commercial,0.5,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Mountain View,710 - Regional Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
