city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
palo_alto,Single Family Res,0.45,30.0,7.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Multi-Family Res,1.0,40.0,40.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Village Residential,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Transit-oriented Residential,,,50.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Multi-Family Res (w/Hotel Overlay),1.0,40.0,40.0,,0,1,1,0,1,0,0,0,0,1,0,0,0,0
palo_alto,Neighborhood Commercial,0.4,25.0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0
palo_alto,Regional/Community Commercial,2.0,50.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
palo_alto,Service Commercial,0.4,50.0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0
palo_alto,SOFA I CAP,1.15,,,,0,1,1,1,0,0,0,0,0,1,0,1,1,1
palo_alto,SOFA II CAP,1.15,,,,0,1,1,1,0,0,0,0,0,1,0,1,1,1
palo_alto,Hotel Commercial,1.5,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0
palo_alto,Research/Office Park,0.5,50.0,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0
palo_alto,Light Industrial,0.5,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
palo_alto,School District Land,1.0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
palo_alto,Major Institution/Special Facility,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
palo_alto,MIUL/Campus Single Family,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,MIUL/Campus Multiple Family,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
palo_alto,MIUL/Campus Educational Facility,,,,,0,1,1,1,0,1,0,0,0,0,0,0,0,0
palo_alto,MIUL/Academic Reserve and Open Space,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
palo_alto,Public Conservation Land,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Public Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Streamside Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,Open Space/Controlled Development,,,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Hotel Commercial,1.5,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
palo_alto,711 - Light Industrial,0.5,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
palo_alto,711 - Major Institution/Special Facility,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
palo_alto,711 - Major Institution/University Lands/Academic Reserve and Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Major Institution/University Lands/Campus Educational Facility,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
palo_alto,711 - Major Institution/University Lands/Campus Multiple Family,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Major Institution/University Lands/Campus Single Family,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Mixed Use/Coordinated Area Plan (CAP),,,40.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
palo_alto,711 - Multiple Family Residential,1.0,40.0,40.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Multiple Family Residential (with Hotel Overlay),1.0,40.0,40.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1
palo_alto,711 - Neighborhood Commercial,0.4,25.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
palo_alto,711 - Open Space/Controlled Development,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Public Conservation Land,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Public Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Regional/Community Commercial,2.0,50.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
palo_alto,711 - Research/Office Park,0.5,50.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
palo_alto,711 - School District Land,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
palo_alto,711 - Service Commercial,0.4,50.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
palo_alto,711 - Single Family Residential,0.45,30.0,7.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Streamside Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palo_alto,711 - Transit-Oriented Residential,,,50.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
