city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
sunnyvale,Low Res.,,30.0,7.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Low Med Res.,,30.0,14.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Med Res.,,35.0,27.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,High Res.,,55.0,45.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Very High Res.,,55.0,65.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Mobile Home Res.,,30.0,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Neighborhood Com,,40.0,,,0,0,0,1,0,0,0,0,0,1,1,0,0,0
sunnyvale,General Business,0.55,75.0,,,0,0,0,1,0,0,0,0,0,1,1,0,0,0
sunnyvale,Com Intensificat,0.55,75.0,,,0,0,0,1,0,0,0,0,0,1,1,0,0,0
sunnyvale,Ind Intensificat,0.7,75.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sunnyvale,Office,,30.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sunnyvale,Industry,0.35,75.0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sunnyvale,Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Schools,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sunnyvale,Environmental,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,Civic Center,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sunnyvale,Ind. to Res. (Lo,0.35,,14.0,,1,1,0,1,0,0,1,0,0,1,0,0,0,0
sunnyvale,Ind. to Res. (Me,0.35,,27.0,,1,1,1,1,0,0,1,0,0,1,0,0,0,0
sunnyvale,ITR Med to High,0.35,,45.0,,0,1,1,1,0,0,1,0,0,1,0,0,0,0
sunnyvale,Lakeside,,78.0,47.0,,0,1,1,0,1,0,0,0,0,0,0,1,0,0
sunnyvale,Moffett Park,,,,,0,0,0,1,1,0,1,1,1,1,0,0,1,1
sunnyvale,DSP,,,,,1,1,1,1,0,0,0,0,0,1,0,1,1,1
sunnyvale,715 - Civic Center,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
sunnyvale,715 - Commercial Intensification,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
sunnyvale,715 - Downtown Specific Plan,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
sunnyvale,715 - Environmental Services,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - High Density Residential (27-45 du/ac),,55.0,45.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Highway Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
sunnyvale,715 - Industrial Intensification,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
sunnyvale,715 - Industrial to Residential (Low Medium Density),0.35,,14.0,,1,1,1,0,0,0,1,1,0,0,0,0,0,0
sunnyvale,715 - Industrial to Residential (Medium Density),0.35,,27.0,,1,1,1,0,0,0,1,1,0,0,0,0,0,0
sunnyvale,715 - Industrial to Residential (Medium to High Density),0.35,,45.0,,1,1,1,0,0,0,1,1,0,0,0,0,0,0
sunnyvale,715 - Industry,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
sunnyvale,715 - Low Density Residential (0-7 du/ac),,30.0,7.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Low Medium Density Residential (7-14 du/ac),,30.0,14.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Medium Density Residential (14-27 du/ac),,35.0,27.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Mobile Home Residential,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Moffett Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Neighborhood Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
sunnyvale,715 - Office,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
sunnyvale,715 - Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunnyvale,715 - Schools,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sunnyvale,715 - Very High Density Residential (45-65 du/ac),,55.0,65.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
