city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Benicia,801 - Commercial - Business and Professional,1.2,0,0.0,0,0,1,1,1,1,1,0,0,,1,1,0,1,1
Benicia,801 - Commercial - Community,1.2,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Benicia,801 - Commercial - Downtown,2.4,0,0.0,0,0,1,1,1,1,1,0,0,,1,1,0,1,1
Benicia,801 - Commercial - General,1.2,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Benicia,801 - Commercial - Waterfront,1.2,0,0.0,0,0,1,1,1,1,1,0,0,,1,1,0,1,1
Benicia,801 - Industrial - General,0.7,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Benicia,801 - Industrial - Limited,0.7,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Benicia,801 - Industrial - Waterfront,0.7,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Benicia,801 - Mixed Use - Downtown,2.0,0,0.0,0,0,1,1,1,1,1,0,0,,1,1,1,1,1
Benicia,801 - Mixed Use - Lower Arsenal,2.0,0,0.0,0,0,1,1,1,1,1,0,0,,1,1,1,1,1
Benicia,801 - Open Space - General,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Open Space - Marsh,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Open Space - Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Open Space - Water,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Public and Quasi-Public,1.2,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Residential - High Density,0.0,0,21.0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Residential - Low Density,0.0,0,7.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Benicia,801 - Residential - Medium Density,0.0,0,14.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
