city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Dixon,802 - Agricultural,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - Community Commercial,0.8,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Core Area Mixed Use,0.0,0,20.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Dixon,802 - Downtown Commercial,3.0,50,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Future Residential,0.0,0,0.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - General Industrial,1.6,40,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Dixon,802 - Governmental/Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Dixon,802 - High Density Residential,0.0,0,28.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - Highway Commercial,0.8,40,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Highway Commercial/Professional/Administrative Offices,1.2,30,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Industrial Employment Center,1.6,40,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Dixon,802 - Low Density Residential,0.0,0,6.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - Medium-High Density Residential,0.0,0,21.8,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - Medium-Low Density Residential,0.0,0,14.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - Neighborhood Commercial,0.8,20,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dixon,802 - Planned Business/Industrial,0.0,0,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Dixon,802 - Planned Business/Industrial/Service Commercial,1.6,40,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Dixon,802 - Professional/Administrative Office,1.2,30,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - School Buildings/Play Areas,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Dixon,802 - Services Commercial,0.8,40,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Services Commercial/Professional/Administrative Offices,1.2,30,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Dixon,802 - Very Low Density Residential,0.0,0,2.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
