city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Fairfield,803 - Business and Industrial Park,1.0,50,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Fairfield,803 - Community Commercial,0.4,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Fairfield,803 - Conservation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Extensive Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - General Industrial,0.6,50,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Fairfield,803 - High Density Residential,0.0,45,22.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Highway and Regional Commercial,1.0,55,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Fairfield,803 - Intensive Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Limited Industrial,0.6,50,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Fairfield,803 - Low-Medium Density Residential,0.0,35,8.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Low Density Residential,0.0,35,4.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Medium Density Residential,0.0,35,15.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Mixed Use,0.5,41,30.0,0,0,1,1,1,1,1,0,0,,1,1,1,1,1
Fairfield,803 - Neighborhood Commercial,0.4,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Fairfield,803 - Office Commercial,1.0,45,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Fairfield,803 - Phasing/Special Study Areas,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Public Facilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Fairfield,803 - Recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Roads,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Service Commercial,0.5,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Fairfield,803 - Very High Density Residential,0.0,45,32.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Fairfield,803 - Very Low Density Residential,0.0,35,2.5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,899 - Extensive Agriculture,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,899 - Limited Industrial,0.6,50,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Fairfield,899 - Low Density Residential (2 to 7 units per acre),0.0,35,7.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,899 - Park & Recreation,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Fairfield,899 - Public,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
