city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Suisun City,805 - Agriculture-Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Commercial Service,0.5,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Suisun City,805 - Common Parking,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Suisun City,805 - Fairfield Streams Project,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - General Commercial,1.0,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Suisun City,805 - High Density Residential,0.6,35,21.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Historic Limited Commercial,0.0,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Suisun City,805 - Limited Industrial/Business Park,0.0,0,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Suisun City,805 - Limited Industrial/Commercial Service,0.0,0,0.0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1
Suisun City,805 - Low Density Residential,0.6,35,8.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Main Street Commercial,0.0,40,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Suisun City,805 - Marina,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Medium Density Residential,0.6,35,15.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Mixed Use/PUD,0.0,0,15.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Suisun City,805 - Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Public Access to Waterways,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Suisun City,805 - Public/Quasi-Public Facilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Suisun City,805 - PUD Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Suisun City,805 - Rural Residential,0.0,35,0.05,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - School,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Suisun City,805 - Suisun Marsh Protection District,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Suisun City,805 - Waterfront Commercial,1.5,30,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
