city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Vallejo,807 - Highway Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Vallejo,807 - Low Density Residential,0.0,0,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Vallejo,807 - Medical,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Vallejo,807 - Medium Density Residential,0.0,0,17.4,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Vallejo,807 - Neighborhood Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Vallejo,807 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Vallejo,807 - Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Vallejo,807 - Public/Semi-Public,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Vallejo,807 - School,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Vallejo,807 - Waterfront Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Vallejo,807 - Wetland,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
