city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Cloverdale,901 - Business Park,0.6,50,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Cloverdale,901 - Conservation Features,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Destination Commercial,3.0,40,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Cloverdale,901 - Downtown Commercial,3.0,40,20.0,0,0,0,1,1,1,1,0,0,,1,1,0,1,1
Cloverdale,901 - General Industry,0.6,50,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Cloverdale,901 - High Density Residential,0.4,35,16.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Low-Medium Density Residential,0.4,35,6.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Low Density Residential,0.4,35,4.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Medium-High Density Residential,0.4,35,10.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Medium Density Residential,0.4,35,8.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Mixed,1.0,40,20.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Cloverdale,901 - Public Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Cloverdale,901 - Rural Residential,0.4,35,0.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Cloverdale,901 - Service Commercial,1.0,35,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
