city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Cotati,902 - Commercial Industrial,0.0,40,15.0,0,0,0,1,1,1,0,1,1,,1,1,0,1,1
Cotati,902 - General Commercial,0.0,50,15.0,0,0,1,1,1,1,1,0,0,,1,1,0,1,1
Cotati,902 - General Industrial,0.0,40,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Cotati,902 - High Density Residential,0.0,28,15.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Cotati,902 - Highway Commercial,0.0,50,15.0,0,0,1,1,1,1,1,0,0,,1,1,0,1,1
Cotati,902 - Low-Medium Density Residential,0.0,28,6.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Cotati,902 - Low Density Residential,0.0,28,2.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Cotati,902 - Medium Density Residential,0.0,28,10.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Cotati,902 - Office Commercial,0.0,28,15.0,0,0,1,1,1,0,0,0,0,,0,0,0,1,1
Cotati,902 - Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Cotati,902 - Public Facilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Cotati,902 - Rural Residential,0.0,35,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
