city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
petaluma,RR,,25.0,0.6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,R VL,,25.0,2.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,RL,,25.0,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,R DIV LOW,,25.0,12.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
petaluma,RM,,35.0,18.0,,1,1,1,0,0,0,0,0,0,0,0,1,1,1
petaluma,RH,,45.0,30.0,,1,1,1,0,0,0,0,0,0,0,0,1,1,1
petaluma,MH,,25.0,18.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,NC,0.8,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
petaluma,CC,1.2,40.0,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0
petaluma,MU,2.5,45.0,30.0,,0,0,1,0,0,0,0,0,0,0,0,1,1,1
petaluma,BP,3.0,40.0,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0
petaluma,I,0.6,40.0,,,0,0,0,0,0,0,1,1,1,1,0,0,0,0
petaluma,AG,,25.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,AG S,,40.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
petaluma,RDI,,40.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0
petaluma,P S-P,,25.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
petaluma,ED,,25.0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
petaluma,PARK,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,CO PARK,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,PROP PARK,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,OS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,FW,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Agricultural Support Industrial,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Agriculture,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Community Commercial,1.2,40.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
petaluma,904 - Industrial,0.6,40.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
petaluma,904 - Mixed Use,2.5,40.0,30.0,,0,0,1,1,1,1,0,0,0,1,1,1,1,1
petaluma,904 - Office,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
petaluma,904 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Public Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
petaluma,904 - Public Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - River Dependant Industrial,,40.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
petaluma,904 - Rural (0.0 - 0.5 du/ac),,25.0,0.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - School District Lands,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
petaluma,904 - Special Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
petaluma,904 - Special Industrial,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
petaluma,904 - Special Office,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
petaluma,904 - Suburban - High Amenity (0.6 - 2.5 du/ac),,25.0,2.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Suburban  (0.5 - 2.0 du/ac),,25.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Thoroughfare Commercial,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
petaluma,904 - Urban Diversified  (5.0 - 10.0 du/ac),,34.0,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Urban High  (10.1 - 15.0 du/ac),,45.0,15.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Urban Separator,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petaluma,904 - Urban Standard  (2.1 - 5.0 du/ac),,25.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
