city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
santa_rosa,Country Residential,,35.0,0.2,,1,0,0,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Very Low Residential,,35.0,2.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Low/Open Space,,35.0,8.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Low Residential,,35.0,8.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Med-Low Residential,,35.0,13.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Med Residential,,35.0,18.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Med-High Residential,,45.0,30.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Mobile Home Park,,50.0,18.0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Transit Village Medium,,45.0,40.0,,1,1,1,0,0,1,0,0,0,1,0,1,1,0
santa_rosa,Transit Village Mixed Use,,95.0,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0
santa_rosa,Retail/Med Residential,,45.0,18.0,,0,0,0,0,0,1,1,1,0,1,1,1,1,0
santa_rosa,Retail/High Residential,,55.0,40.0,,0,0,0,0,0,1,1,1,0,1,1,1,1,0
santa_rosa,LtInd/Med Residential,,55.0,18.0,,1,1,1,0,0,1,0,0,0,1,0,0,0,0
santa_rosa,Office/High Residential,,150.0,40.0,,1,1,1,1,0,1,0,0,0,1,0,1,0,1
santa_rosa,Office/Med Residential,,95.0,18.0,,1,1,1,1,0,1,0,0,0,1,0,1,0,1
santa_rosa,Retail and Business Service,,55.0,,,0,1,1,1,0,1,1,1,0,1,1,0,0,0
santa_rosa,Office,,35.0,,,0,1,1,1,0,1,0,0,0,1,0,0,0,0
santa_rosa,Business Park,,55.0,,,1,1,1,1,0,0,0,1,0,0,0,0,0,0
santa_rosa,Public/Institutional,,35.0,,,0,0,0,1,0,1,0,0,0,1,0,0,0,0
santa_rosa,Light Industry,,55.0,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0
santa_rosa,General Industry,,55.0,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0
santa_rosa,Agriculture,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,Parks/Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Agriculture,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Business Park,,55.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
santa_rosa,906 - Country Residential,,35.0,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Downtown Mixed,,,40.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
santa_rosa,906 - General Industry,,55.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
santa_rosa,906 - Light Industry,,55.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
santa_rosa,906 - Low Density Residential,,35.0,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Low Density Residential/Open Space,,35.0,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Medium-High Density Residential,,45.0,30.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Medium-Low Density Residential,,35.0,13.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Medium Density Residential,,35.0,18.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Mobile Home Park,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Office,,35.0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1
santa_rosa,906 - Office/High Density Residential,,140.0,40.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
santa_rosa,906 - Office/Medium Density Residential,,95.0,18.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
santa_rosa,906 - Open Space,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Parks/Recreation,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Private Road,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_rosa,906 - Public/Institutional,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
santa_rosa,906 - Retail and Business Service,,55.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1
santa_rosa,906 - Retail/High Density Residential,,55.0,40.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
santa_rosa,906 - Retail/Medium Density Residential,,95.0,18.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1
santa_rosa,906 - Very Low Density Residential,,35.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
