city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Sebastopol,907 - Community Facilities,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Sebastopol,907 - Downtown Core,2.0,0,44.0,0,0,1,1,1,1,1,0,0,,1,1,0,1,1
Sebastopol,907 - General Commercial,1.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Sebastopol,907 - High Density Residential,0.0,0,22.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Sebastopol,907 - Light Industrial,0.55,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Sebastopol,907 - Low Density Residential,0.0,0,2.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Sebastopol,907 - Medium Density Residential,0.0,0,6.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Sebastopol,907 - Office,1.0,0,0.0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1
Sebastopol,907 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Sebastopol,907 - Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Sebastopol,907 - Very Low Density Residential,0.0,0,1.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
