city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
Windsor,920 - Gateway Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Windsor,920 - General Business,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Windsor,920 - Heavy Industrial,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Windsor,920 - High Density Residential,0.0,0,16.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Light Industrial,0.0,0,0.0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0
Windsor,920 - Low-Medium Density Residential,0.0,0,6.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Low Density Residential,0.0,0,3.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Medium-High Density Residential,0.0,0,12.0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Medium Density Residential,0.0,0,8.0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Mixed Use - Neighborhood Center,0.0,0,12.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Windsor,920 - Mixed Use - Town Center,0.0,0,32.0,0,1,1,1,1,1,1,0,0,,1,1,1,1,1
Windsor,920 - Mobile Home Park,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Open Space,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Parks,0.0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Windsor,920 - Public/Quasi-Public/Institutional,0.0,0,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Windsor,920 - Retail Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Windsor,920 - Service Commercial,0.0,0,0.0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1
Windsor,920 - Very Low Density Residential,0.0,0,0.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0
