name, long_name,juris,fips, county
alameda, ,alam,, ala
albany, ,alby,, ala
berkeley, ,brky,, ala
dublin, ,dubl,, ala
emeryville, ,emry,, ala
fremont, ,frmt,, ala
hayward, ,hayw,, ala
livermore, ,livr,, ala
newark, ,newk,, ala
oakland, ,okld,, ala
piedmont, ,pied,, ala
pleasanton, ,ples,, ala
san_leandro, ,slea,, ala
unincorporated_alameda, ,uala,, ala
union_city, ,unic,, ala
antioch, ,anti,, cnc
brentwood, ,brnt,, cnc
clayton, ,clay,, cnc
concord, ,conc,, cnc
danville, ,danv,, cnc
el_cerrito, ,elce,, cnc
hercules, ,herc,, cnc
lafayette, ,lafy,, cnc
martinez, ,mart,, cnc
moraga, ,mora,, cnc
oakley, ,okly,, cnc
orinda, ,orin,, cnc
pinole, ,pinl,, cnc
pittsburg, ,pitt,, cnc
pleasant_hill, ,plhl,, cnc
richmond, ,rich,, cnc
san_pablo, ,spab,, cnc
san_ramon, ,sram,, cnc
unincorporated_contra_costa, ,ucnc,, cnc
walnut_creek, ,walc,, cnc
belvedere, ,belv,, mar
corte_madera, ,cmad,, mar
fairfax, ,frfx,, mar
larkspur, ,lark,, mar
mill_valley, ,milv,, mar
novato, ,nova,, mar
ross, ,ross,, mar
san_anselmo, ,sans,, mar
san_rafael, ,sraf,, mar
sausalito, ,saus,, mar
tiburon, ,tibu,, mar
unincorporated_marin, ,umar,, mar
american_canyon, ,amcn,, nap
calistoga, ,cali,, nap
napa, ,napa,, nap
st_helena, ,shel,, nap
unincorporated_napa, ,unap,, nap
yountville, ,yntv,, nap
san_francisco, ,sfra,, sfr
atherton, ,atht,, smt
belmont, ,belm,, smt
brisbane, ,bris,, smt
burlingame, ,burl,, smt
colma, ,colm,, smt
daly_city, ,dalc,, smt
east_palo_alto, ,epal,, smt
foster_city, ,fosc,, smt
half_moon_bay, ,hmby,, smt
hillsborough, ,hill,, smt
menlo_park, ,mprk,, smt
millbrae, ,mlbr,, smt
pacifica, ,pacf,, smt
portola_valley, ,porv,, smt
redwood_city, ,rwdc,, smt
san_bruno, ,sbru,, smt
san_carlos, ,scar,, smt
san_mateo, ,smat,, smt
south_san_francisco, ,ssfr,, smt
unincorporated_san_mateo, ,usmt,, smt
woodside, ,wood,, smt
campbell, ,camp,, scl
cupertino, ,cupe,, scl
gilroy, ,gilr,, scl
los_altos, ,lalt,, scl
los_altos_hills, ,lahl,, scl
los_gatos, ,lgat,, scl
milpitas, ,milp,, scl
monte_sereno, ,mser,, scl
morgan_hill, ,mghl,, scl
mountain_view, ,mtvw,, scl
palo_alto, ,pala,, scl
san_jose, ,snjs,, scl
santa_clara, ,scla,, scl
saratoga, ,sara,, scl
sunnyvale, ,sunn,, scl
unincorporated_santa_clara, ,uscl,, scl
benicia, ,beni,, sol
dixon, ,dixn,, sol
fairfield, ,frfd,, sol
rio_vista, ,riov,, sol
suisun_city, ,suic,, sol
unincorporated_solano, ,usol,, sol
vacaville, ,vaca,, sol
vallejo, ,vall,, sol
cloverdale, ,clov,, son
cotati, ,cota,, son
healdsburg, ,heal,, son
petaluma, ,peta,, son
rohnert_park, ,rnpk,, son
santa_rosa, ,sros,, son
sebastopol, ,seba,, son
sonoma, ,sono,, son
unincorporated_sonoma, ,uson,, son
windsor, ,wind,, son
